Map Projection,Map Projection,Map,Map Projection Zone,Information,Remarks,Revision,Coordinate,Projection,Projection,Proj. Param,Proj. Param,Prime,Longitude,Latitude,Scale, False, False,Latitude of,Latitude of,Latitude of False Origin,Longitude of False Origin,Easting at,Northing at,Latitude of,Longitude of,Easting at,Northing at,Azimuth of Initial Line,Scale Factor,,Proj Zone,Zone,Old Map
Argentina zone 7,Argentina 7,18037,Argentina east of 55 deg 30 min W,,Original transformation by Gauss-Kruger formula,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,54deg  0min  0.000sec W,90deg  0min  0.000sec S,1.0000000,7500000,0,,,,,,,,,,,,,,16,11,P0483
Australian Map Grid zone 48,AMG zone 48,17448,Australia 102deg East to 108deg East,The Australian Map Grid Technical Manual; National Mapping Council of Australia; 1972,Grid convergence uses opposite sign convention to UTM,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,105deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9996000,500000,10000000,,,,,,,,,,,,,,abbr req (27),11,P0466
Australian Map Grid zone 49,AMG zone 49,17449,Australia 108deg East to 114deg East,The Australian Map Grid Technical Manual; National Mapping Council of Australia; 1972,Grid convergence uses opposite sign convention to UTM,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,111deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9996000,500000,10000000,,,,,,,,,,,,,,abbr req (27),11,P0467
Australian Map Grid zone 50,AMG zone 50,17450,Australia 114deg East to 120deg East,The Australian Map Grid Technical Manual; National Mapping Council of Australia; 1972,Grid convergence uses opposite sign convention to UTM,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,117deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9996000,500000,10000000,,,,,,,,,,,,,,abbr req (27),11,P0468
Australian Map Grid zone 51,AMG zone 51,17451,Australia 120deg East to 126deg East,The Australian Map Grid Technical Manual; National Mapping Council of Australia; 1972,Grid convergence uses opposite sign convention to UTM,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,123deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9996000,500000,10000000,,,,,,,,,,,,,,abbr req (27),11,P0469
Australian Map Grid zone 52,AMG zone 52,17452,Australia 126deg East to 132deg East,The Australian Map Grid Technical Manual; National Mapping Council of Australia; 1972,Grid convergence uses opposite sign convention to UTM,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,129deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9996000,500000,10000000,,,,,,,,,,,,,,abbr req (27),11,P0470
Australian Map Grid zone 53,AMG zone 53,17453,Australia 132deg East to 138deg East,The Australian Map Grid Technical Manual; National Mapping Council of Australia; 1972,Grid convergence uses opposite sign convention to UTM,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,135deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9996000,500000,10000000,,,,,,,,,,,,,,abbr req (27),11,P0471
Australian Map Grid zone 54,AMG zone 54,17454,Australia 138deg East to 144deg East                                                                                                   Papua New Guinea west of 144 deg East,The Australian Map Grid Technical Manual; National Mapping Council of Australia; 1972,Grid convergence uses opposite sign convention to UTM,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,141deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9996000,500000,10000000,,,,,,,,,,,,,,abbr req (27),11,P0472
Australian Map Grid zone 55,AMG zone 55,17455,Australia 144deg East to 150deg East                                                                                                                 Papua New Guinea 144deg East to 150deg East,The Australian Map Grid Technical Manual; National Mapping Council of Australia; 1972,Grid convergence uses opposite sign convention to UTM,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,147deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9996000,500000,10000000,,,,,,,,,,,,,,abbr req (27),11,P0473
Australian Map Grid zone 56,AMG zone 56,17456,Australia 150deg East to 156deg East,The Australian Map Grid Technical Manual; National Mapping Council of Australia; 1972,Grid convergence uses opposite sign convention to UTM,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,153deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9996000,500000,10000000,,,,,,,,,,,,,,abbr req (27),11,P0474
Australian Map Grid zone 57,AMG zone 57,17457,Australia 156deg East to 162deg East,The Australian Map Grid Technical Manual; National Mapping Council of Australia; 1972,Grid convergence uses opposite sign convention to UTM,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,159deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9996000,500000,10000000,,,,,,,,,,,,,,abbr req (27),11,P0475
Australian Map Grid zone 58,AMG zone 58,17458,Australia 162deg East to 168deg East,The Australian Map Grid Technical Manual; National Mapping Council of Australia; 1972,Grid convergence uses opposite sign convention to UTM,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,165deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9996000,500000,10000000,,,,,,,,,,,,,,abbr req (27),11,P0476
Map Grid of Australia zone 48,MGA zone 48,17348,Australia - 102deg East to 108deg East,Australian Surveying and Land Information Group Internet WWW page.,Grid convergence uses opposite sign convention to UTM,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,105deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9996000,500000,10000000,,,,,,,,,,,,,,abbr req (29),11,
Map Grid of Australia zone 49,MGA zone 49,17349,Australia - 108deg East to 114deg East,Australian Surveying and Land Information Group Internet WWW page.,Grid convergence uses opposite sign convention to UTM,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,111deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9996000,500000,10000000,,,,,,,,,,,,,,abbr req (29),11,
Map Grid of Australia zone 50,MGA zone 50,17350,Australia - 114deg East to 120deg East,Australian Surveying and Land Information Group Internet WWW page.,Grid convergence uses opposite sign convention to UTM,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,117deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9996000,500000,10000000,,,,,,,,,,,,,,abbr req (29),11,
Map Grid of Australia zone 51,MGA zone 51,17351,Australia - 120deg East to 126deg East,Australian Surveying and Land Information Group Internet WWW page.,Grid convergence uses opposite sign convention to UTM,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,123deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9996000,500000,10000000,,,,,,,,,,,,,,abbr req (29),11,
Map Grid of Australia zone 52,MGA zone 52,17352,Australia - 126deg East to 132deg East,Australian Surveying and Land Information Group Internet WWW page.,Grid convergence uses opposite sign convention to UTM,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,129deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9996000,500000,10000000,,,,,,,,,,,,,,abbr req (29),11,
Map Grid of Australia zone 53,MGA zone 53,17353,Australia - 132deg East to 138deg East,Australian Surveying and Land Information Group Internet WWW page.,Grid convergence uses opposite sign convention to UTM,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,135deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9996000,500000,10000000,,,,,,,,,,,,,,abbr req (29),11,
Map Grid of Australia zone 54,MGA zone 54,17354,Australia - 138deg East to 144deg East                                                                     ,Australian Surveying and Land Information Group Internet WWW page.,Grid convergence uses opposite sign convention to UTM,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,141deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9996000,500000,10000000,,,,,,,,,,,,,,abbr req (29),11,
Map Grid of Australia zone 55,MGA zone 55,17355,Australia - 144deg East to 150deg East                                                                     ,Australian Surveying and Land Information Group Internet WWW page.,Grid convergence uses opposite sign convention to UTM,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,147deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9996000,500000,10000000,,,,,,,,,,,,,,abbr req (29),11,
Map Grid of Australia zone 56,MGA zone 56,17356,Australia - 150deg East to 156deg East,Australian Surveying and Land Information Group Internet WWW page.,Grid convergence uses opposite sign convention to UTM,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,153deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9996000,500000,10000000,,,,,,,,,,,,,,abbr req (29),11,
Map Grid of Australia zone 57,MGA zone 57,17357,Australia - 156deg East to 162deg East,Australian Surveying and Land Information Group Internet WWW page.,Grid convergence uses opposite sign convention to UTM,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,159deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9996000,500000,10000000,,,,,,,,,,,,,,abbr req (29),11,
Map Grid of Australia zone 58,MGA zone 58,17358,Australia - 162deg East to 168deg East,Australian Surveying and Land Information Group Internet WWW page.,Grid convergence uses opposite sign convention to UTM,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,165deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9996000,500000,10000000,,,,,,,,,,,,,,abbr req (29),11,
Austria West Zone,,18041,Austria west of 11Deg. 50Min. E,,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,10deg 20min  0.000sec E,0deg  0min  0.000sec N,1.0000000,0,0,,,,,,,,,,,,,,17,0,P0484
Austria Central Zone,,18042,Austria between 11Deg. 50Min. and 14Deg. 50Min. E,,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,13deg 20min  0.000sec E,0deg  0min  0.000sec N,1.0000000,0,0,,,,,,,,,,,,,,20,0,P0485
Austria East Zone,,18043,Austria east of 14Deg. 50Min. E,,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,16deg 20min  0.000sec E,0deg  0min  0.000sec N,1.0000000,0,0,,,,,,,,,,,,,,17,0,P0486
Bahrain State Grid,Bahrain Grid,19900,Bahrain,,,02-Jun-95,Transverse Mercator ,9001,metre,9107,DMS,Greenwich,51deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9996000,500000,0,,,,,,,,,,,,,,18,12,P0487
Belge Lambert 50,,19901,Belgium - onshore,"""Systemes de reference et formules de transformation en usage en Belgique""; IGN Brussels",,02-Jun-95,Lambert Conic Conformal (2SP),9001,metre,9107,DMS,Brussels,0deg  0min  0.000sec E,,,,,49deg 50min  0.000sec N,51deg 10min  0.000sec N,90deg  0min  0.000sec N,0deg  0min  0.000sec E,150000,5400000,,,,,,,,16,0,P0534
Belge Lambert 72,,19902,Belgium - onshore,"""Systemes de reference et formules de transformation en usage en Belgique""; IGN Brussels",Rotation from Belge Lambert 50 to Belge Lambert 72 is +29.2985sec.,02-Jun-95,Lambert Conic Conformal  (2sp) modified by Helmert (similarity) transformation,9001,metre,9107,DMS,Greenwich,4deg  21min  24.983sec E,,,,,49deg 50min  0.000sec N,51deg 10min  0.000sec N,90deg  0min  0.000sec N,4deg  21min  24.983sec E,150000.0126,5400088.438,,,,,0 deg. 0 min. 29.2985 sec.,,,16,0,P0535
Rectified Skew Orthomorphic Borneo Grid,R.S.O. Borneo,19912,Malaysia - East Malaysia (Sabah; Sarawak)                                                                                                                    Brunei,,,02-Jun-95,Hotine Oblique Mercator,9011,chain (Sears),9107,DMS,Greenwich,,,,,,,,,,,,4 deg. 0 min. 0.0 sec. N,115 deg. 0 min. 0.0 sec. E,29352.4763,22014.3572,53 deg. 18 min. 56.9537 sec.,0.99984,,abbr req (39),13,P0525
Colombia West zone,Colombia 3W,18051,Colombia west of 1 deg 30 min W of Bogota (75d 34m 51.30s W of Greenwich),,Original transformation by Gauss-Kruger formula,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Bogota,3deg  0min  0.000sec W,4deg 35min 56.570sec N,1.0000000,1000000,1000000,,,,,,,,,,,,,,18,11,P0492
Colombia Bogota zone,Colombia Bogota,18052,Colombia 1 deg 30 min W to 1 deg 30 min E of Bogota (75d 35m W to 72d 35m W of Greenwich),,Original transformation by Gauss-Kruger formula,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Bogota,0deg  0min  0.000sec E,4deg 35min 56.570sec N,1.0000000,1000000,1000000,,,,,,,,,,,,,,20,15,P0491
Colombia East Central zone,Colombia 3E,18053,Colombia 1 deg 30 min to 4 deg 30 min E of Bogota (72d 35m to 69d 34m W of Greenwich),,Original transformation by Gauss-Kruger formula,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Bogota,3deg  0min  0.000sec E,4deg 35min 56.570sec N,1.0000000,1000000,1000000,,,,,,,,,,,,,,abbr req (26),11,P0490
Colombia East zone,Colombia 6E,18054,Colombia east of 4 deg 30 min E of Bogota (69d 34m 51.3s W of Greenwich),,Original transformation by Gauss-Kruger formula,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Bogota,6deg  0min  0.000sec E,4deg 35min 56.570sec N,1.0000000,1000000,1000000,,,,,,,,,,,,,,18,11,P0489
Cuba Norte,,18061,Cuba,,,02-Jun-95,Lambert Conic Conformal (1SP),9001,metre,9107,DMS,Greenwich,81 deg 0min 0 sec W,22 deg 21 min 0 sec N,0.9999360,500000,280296.016,,,,,,,,,,,,,,10,0,P0441
Cuba Sur,,18062,Cuba,,,02-Jun-95,Lambert Conic Conformal (1SP),9001,metre,9107,DMS,Greenwich,76 deg 50 min 0 sec W,20 deg 43 min 0 sec N,0.9999485,500000,229126.939,,,,,,,,,,,,,,8,0,P0442
Egypt Red Belt,Red Belt,18072,Egypt  east of 29 deg E,,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,31deg  0min  0.000sec E,30deg  0min  0.000sec N,1.0000000,615000,810000,,,,,,,,,,,,,,14,8,P0495
Egypt Purple Belt,Purple Belt,18073,Egypt  west of 29 deg E; north of approx 28 deg 11 min N,,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,27deg  0min  0.000sec E,30deg  0min  0.000sec N,1.0000000,700000,200000,,,,,,,,,,,,,,17,11,P0493
Egypt Extended Purple Belt,Extended Purple Belt,18074,Egypt  west of 29 deg E; south of approx 28 deg 11 min N,,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,27deg  0min  0.000sec E,30deg  0min  0.000sec N,1.0000000,700000,1200000,,,,,,,,,,,,,,abbr req (26),20,P0494
Nord de Guerre,,19903,France - Alsace,,,02-Jun-95,Lambert Conic Conformal (1SP),9001,metre,9105,grad,Paris,6 g E,55 g N,0.9995091,500000,300000,,,,,,,,,,,,,,14,0,P0447
France I,,18081,France north of 53.5 grads (48 deg 09 min) N,IGN Paris.,Superceded by P0443 from 1972.,02-Jun-95,Lambert Conic Conformal (1SP),9001,metre,9105,grad,Paris,0.0000000grad,55.0000000grad N,0.9998773,600000,1200000,,,,,,,,,,,,,,8,0,P0536
France II,,18082,France 50.5 to 53.5 grads (45 deg 27 min to 48 deg 09 min) N,IGN Paris.,Superceded by P0444 from 1972.,02-Jun-95,Lambert Conic Conformal (1SP),9001,metre,9105,grad,Paris,0.0000000grad,52.0000000grad N,0.9998774,600000,2200000,,,,,,,,,,,,,,9,0,P0537
France III,,18083,France south of 50.5 grads (45 deg 27 min) N,IGN Paris.,Superceded by P0445 from 1972.,02-Jun-95,Lambert Conic Conformal (1SP),9001,metre,9105,grad,Paris,0.0000000grad,49.0000000grad N,0.9998775,600000,3200000,,,,,,,,,,,,,,10,0,P0538
France IV,,18084,France - Corsica,IGN Paris.,Superceded by P0446 from 1972.,02-Jun-95,Lambert Conic Conformal (1SP),9001,metre,9105,grad,Paris,0.0000000grad,46.85 g N,0.9999447,234.358,4185861.369,,,,,,,,,,,,,,9,0,P0539
Nord France,,18091,France north of 53.5 grads (48 deg 09 min) N,IGN Paris.,Introduced 1972. See P0536.,02-Jun-95,Lambert Conic Conformal (1SP),9001,metre,9105,grad,Paris,0.0000000grad,55.0000000grad N,0.9998773,600000,200000,,,,,,,,,,,,,,11,0,P0443
Centre France,,18092,France 50.5 to 53.5 grads (45 deg 27 min to 48 deg 09 min) N,IGN Paris.,Introduced 1972. See P0537.,02-Jun-95,Lambert Conic Conformal (1SP),9001,metre,9105,grad,Paris,0.0000000grad,52.0000000grad N,0.9998774,600000,200000,,,,,,,,,,,,,,13,0,P0444
Sud France,,18093,France south of 50.5 grads (45 deg 27 min) N,IGN Paris.,Introduced 1972. See P0538.,02-Jun-95,Lambert Conic Conformal (1SP),9001,metre,9105,grad,Paris,0.0000000grad,49.0000000grad N,0.9998775,600000,200000,,,,,,,,,,,,,,10,0,P0445
Corse,,18094,France - Corsica,IGN Paris.,Introduced 1972. See P0539.,02-Jun-95,Lambert Conic Conformal (1SP),9001,metre,9105,grad,Paris,0.0000000grad,46.85 g N,0.9999447,234.358,185861.369,,,,,,,,,,,,,,5,0,P0446
Germany zone 1,,18101,Germany - onshore west of 4 deg 30 min E,,Original transformation by Gauss-Kruger formula,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,3deg  0min  0.000sec E,0deg  0min  0.000sec N,1.0000000,1500000,0,,,,,,,,,,,,,,14,0,P0497
Germany zone 2,,18102,Germany - onshore between 4 deg 30 min and 7 deg 30 min E,,Original transformation by Gauss-Kruger formula,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,6deg  0min  0.000sec E,0deg  0min  0.000sec N,1.0000000,2500000,0,,,,,,,,,,,,,,14,0,P0498
Germany zone 3,,18103,Germany - onshore between 7 deg 30 min and 10 deg 30 min E,,Original transformation by Gauss-Kruger formula,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,9deg  0min  0.000sec E,0deg  0min  0.000sec N,1.0000000,3500000,0,,,,,,,,,,,,,,14,0,P0499
Germany zone 4,,18104,Germany - onshore between 10 deg 30 min and 13 deg 30 min E,,Original transformation by Gauss-Kruger formula,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,12deg  0min  0.000sec E,0deg  0min  0.000sec N,1.0000000,4500000,0,,,,,,,,,,,,,,14,0,P0500
Germany zone 5,,18105,Germany - onshore between 13 deg 30 min and 16 deg 30 min E,,Original transformation by Gauss-Kruger formula,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,15deg  0min  0.000sec E,0deg  0min  0.000sec N,1.0000000,5500000,0,,,,,,,,,,,,,,14,0,P0501
Ghana Metre Grid,,19904,Ghana,,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,1deg  0min  0.000sec W,4deg 40min  0.000sec N,0.9997500,274319.51,0,,,,,,,,,,,,,,16,0,P0502
India zone 0,,18110,India  north of 35 deg 30 min N                                                                                                                 Pakistan north of 35 deg 30 min N,,,02-Jun-95,Lambert Conic Conformal (1SP),9013,Indian yard,9107,DMS,Greenwich,68 deg 0 min 0.0 sec E,32 deg 30 min 0.000 sec N,0.9987864,3000000,1000000,,,,,,,,,,,,,,12,0,P0448
India zone I,,18111,India 28 deg to 35 deg 30 min N                                                                                                             Pakistan 28 deg to 35 deg 30 min N,,,02-Jun-95,Lambert Conic Conformal (1SP),9013,Indian yard,9107,DMS,Greenwich,68 deg 0 min 0.0 sec E,32 deg 30 min 0.000 sec N,0.9987864,3000000,1000000,,,,,,,,,,,,,,12,0,P0449
India zone IIa,,18112,India west of 82 deg E; 22 deg to 28 deg N                                                                                         Pakistan west of 82 deg E; 22 deg to 28 deg N,,,02-Jun-95,Lambert Conic Conformal (1SP),9013,Indian yard,9101,degree,Greenwich,74,26,0.9987864,3000000,1000000,,,,,,,,,,,,,,14,0,P0450
India zone IIb,,18113,India east of 82 deg E; north of 22 deg N,,,02-Jun-95,Lambert Conic Conformal (1SP),9013,Indian yard,9101,degree,Greenwich,90,26,0.9987864,3000000,1000000,,,,,,,,,,,,,,14,0,P0451
India zone IIIa,,18114,India,,,02-Jun-95,Lambert Conic Conformal (1SP),9013,Indian yard,9101,degree,Greenwich,80,19,0.9987864,3000000,1000000,,,,,,,,,,,,,,15,0,P0452
India zone IIIb,,18115,India,,,02-Jun-95,Lambert Conic Conformal (1SP),9013,Indian yard,9101,degree,Greenwich,100,19,0.9987864,3000000,1000000,,,,,,,,,,,,,,15,0,P0453
India zone IVa,,18116,India,,,02-Jun-95,Lambert Conic Conformal (1SP),9013,Indian yard,9101,degree,Greenwich,80,12,0.9987864,3000000,1000000,,,,,,,,,,,,,,14,0,P0454
India zone IVb,,18117,India,,,02-Jun-95,Lambert Conic Conformal (1SP),9013,Indian yard,9101,degree,Greenwich,104,12,0.9987864,3000000,1000000,,,,,,,,,,,,,,14,0,P0455
Netherlands East Indies Equatorial Zone,NEIEZ,19905,Indonesia,,,02-Jun-95,Mercator,9001,metre,9107,DMS,Greenwich,110deg 0min 0.000sec E,0deg  0min  0.000sec N,0.9970000,3900000,900000,,,,,,,,,,,,,,abbr req (39),5,P0527
Iraq National Grid,,19907,Iraq,,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,46deg 30min  0.000sec E,29deg  1min 34.566sec N,0.9994000,800000,0,,,,,,,,,,,,,,18,0,P0505
Iraq zone,,19906,Iraq,,,02-Jun-95,Lambert Conic Conformal (1SP),9001,metre,9107,DMS,Greenwich,45 deg 0 min 0.0 sec E,32 deg 30 min 0.000 sec N,0.9987864,1500000,1166200,,,,,,,,,,,,,,9,0,P0456
Irish National Grid,,19908,Ireland - onshore                                                                                                                                               United Kingdom - Northern Ireland,,,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,8deg  0min  0.000sec W,53deg 30min  0.000sec N,1.0000350,200000,250000,,,,,,,,,,,,,,19,0,P0511
Italy zone 1,,18121,Italy west of 12 Deg E,,Original transformation by Gauss-Boaga formula,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,9deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9996000,1500000,0,,,,,,,,,,,,,,12,0,P0503
Italy zone 2,,18122,Italy east of 12 Deg E,,Original transformation by Gauss-Boaga formula,02-Jun-95,Transverse Mercator,9001,metre,9107,DMS,Greenwich,15deg  0min  0.000sec E,0deg  0min  0.000sec N,0.9996000,2520000,0,,,,,,,,,,,,,,12,0,P0504
Jamaica (Old Grid),,19909,Jamaica,,,02-Jun-95,Lambert Conic Conformal (1SP),9005,Clarke's foot,9101,degree,Greenwich,77deg  0min  0.000sec W,18deg  0min  0.000sec N,1.0000000,550000,400000,,,,,,,,,,,,,,18,0,P0457
Jamaica National Grid,,19910,Jamaica,,,02-Jun-95,Lambert Conic Conformal (1SP),9001,metre,9101,degree,Greenwich,77deg  0min  0.000sec W,18deg  0min  0.000sec N,1.0000000,250000,150000,,,,,,,,,,,,,,21,0,P0458
Swiss New Grid,,19922,Liechtenstein                                                                                                                                                            Switzerland,"""Die Projektionen der schweizerischen Plan- und Kartenwerke""; J. Bolliger 1967",,02-Jun-95,Swiss Oblique Cylindrical,9001,metre,9107,DMS,Greenwich,7deg  26min 22.335sec E,46deg 57min  7.890sec N,,200000,600000,,,,,,,,,,,,,,14,0,P0532
Swiss Old Grid,,19923,Liechtenstein                                                                                                                                                            Switzerland,"""Die Projektionen der schweizerischen Plan- und Kartenwerke""; J. Bolliger 1967",,02-Jun-95,Swiss Oblique Cylindrical,9001,metre,9107,DMS,Bern,0,46deg 57min  8.660sec N,,0,0,,,,,,,,,,,,,,14,0,P0531
Laborde Grid,,19911,Madagascar,,,02-Jun-95,Laborde Oblique Mercator,9001,metre,9105,grad,Paris,,,,,,,,,,,,-21,49,400000,800000,21,0.9995,,12,0,P0526
Nord Maroc,,18131,Morocco north of 35 grads (31 deg 30 min) N,,,02-Jun-95,Lambert Conic Conformal (1SP),9001,metre,9105,grad,Greenwich,6 grads W,37 grads N,0.9996258,500000,300000,,,,,,,,,,,,,,10,0,P0459
