Projected,Projected,,Area of Use,Revision,Geog.,Map,Geographic,Map Projection,Map Projection,Information,Remarks,PCS,PCS
Coordinate System,Coordinate System,PCS,,Date,C.S.,Projn.,C.S.,Zone,Zone,Source,,Name,Abbr
Name,Abbreviation,Code,,,Code,Code,Name,,Abbreviation,,,Length,Length

Kalianpur / India zone IIa,Kalianpur / India IIa,24372,India - west of 82 deg E; 22 deg to 28 deg N                                                                                 Pakistan west of 82 deg E; 22 deg to 28 deg N,02-Jun-95,4243,18112,Kalianpur,India zone IIa,,,,abbr req (26),21
Kalianpur / India zone IIb,Kalianpur / India IIb,24382,India - east of 82 deg E; north of 22 deg N,02-Jun-95,4243,18113,Kalianpur,India zone IIb,,,,abbr req (26),21
Kalianpur / India zone IIIa,Kalianpur / India IIIa,24373,India,02-Jun-95,4243,18114,Kalianpur,India zone IIIa,,,,abbr req (27),22
Kalianpur / India zone IIIb,Kalianpur / India IIIb,24383,India,02-Jun-95,4243,18115,Kalianpur,India zone IIIb,,,,abbr req (27),22
Kalianpur / India zone IVa,Kalianpur / India IVa,24374,India,02-Jun-95,4243,18116,Kalianpur,India zone IVa,,,,abbr req (26),21
Kalianpur / India zone IVb,Kalianpur / India IVb,24384,India,02-Jun-95,4243,18117,Kalianpur,India zone IVb,,,,abbr req (26),21
Kertau / Singapore Grid,,24500,Singapore,02-Jun-95,4245,19920,Kertau,Singapore Grid,,,,23,0
Kertau / UTM zone 47N,,24547,Malaysia - West Malaysia west of 102 deg E,02-Jun-95,4245,16047,Kertau,UTM zone 47N,,,,21,0
Kertau / UTM zone 48N,,24548,Malaysia - West Malaysia east of 102 deg E,02-Jun-95,4245,16048,Kertau,UTM zone 48N,,,,21,0
La Canoa / UTM zone 20N,,24720,Venezuela - west of 66 deg W,02-Jun-95,4247,16020,La Canoa,UTM zone 20N,,,,23,0
La Canoa / UTM zone 21N,,24721,Venezuela - east of 66 deg W,02-Jun-95,4247,16021,La Canoa,UTM zone 21N,,,,23,0
Leigon / Ghana Metre Grid,Leigon / Ghana Grid,25000,Ghana,02-Jun-95,4250,19904,Leigon,Ghana Metre Grid,,,,abbr req (25),19
Lisbon (Lisbon) / Portugese National Grid,Lisbon / Portugese Grid,20700,Portugal - onshore,02-Jun-95,4803,19918,Lisbon (Lisbon),Portugese National Grid,,,,abbr req (41),23
Lome / UTM zone 31N,,25231,Togo,02-Jun-95,4252,16031,Lome,UTM zone 31N,,,,19,0
Luzon 1911 / Philippines zone I,Luzon / Philippines I,25391,Philippines - west of 118 deg. E,02-Jun-95,4253,18171,Luzon 1911,Philippines zone I,,,,abbr req (31),21
Luzon 1911 / Philippines zone II,Luzon / Philippines II,25392,Philippines - Palawan; Calamian Islands,02-Jun-95,4253,18172,Luzon 1911,Philippines zone II,,,,abbr req (32),22
Luzon 1911 / Philippines zone III,Luzon / Philippines III,25393,Philippines - Luzon (except SE part;); Mindoro,02-Jun-95,4253,18173,Luzon 1911,Philippines zone III,,,,abbr req (33),23
Luzon 1911 / Philippines zone IV,Luzon / Philippines IV,25394,Philippines - SE Luzon; Tablas; Masbate; Panay; Cebu; Negros; W. Mindanao,02-Jun-95,4253,18174,Luzon 1911,Philippines zone IV,,,,abbr req (32),22
Luzon 1911 / Philippines zone V,Luzon / Philippines V,25395,Philippines - E. Mindanao; Bohol; Samar,02-Jun-95,4253,18175,Luzon 1911,Philippines zone V,,,,abbr req (31),21
M'poraloko / UTM zone 32N,M'poraloko / UTM 32N,26632,Gabon - north of equator,02-Jun-95,4266,16032,M'poraloko,UTM zone 32N,,,,abbr req (25),20
M'poraloko / UTM zone 32S,M'poraloko / UTM 32S,26692,Gabon - south of equator,02-Jun-95,4266,16132,M'poraloko,UTM zone 32S,,,,abbr req (25),20
Makassar (Jakarta) / NEIEZ,Makassar / NEIEZ,25700,Indonesia - south west Sulawesi,02-Jun-95,4804,19905,Makassar (Jakarta),Netherlands East Indies Equatorial Zone,NEIEZ,,,abbr req (26),16
Malongo 1987 / UTM zone 32S,Malongo 1987 / UTM 32S,25932,Angola - Cabinda,02-Jun-95,4259,16132,Malongo 1987,UTM zone 32S,,,,abbr req (27),22
Massawa / UTM zone 37N,,26237,Eritrea,02-Jun-95,4262,16037,Massawa,UTM zone 37N,,,,22,0
Merchich / Nord Maroc,,26191,Morocco north of 35g (31 deg 30 min) N,02-Jun-95,4261,18131,Merchich,Nord Maroc,,,,21,0
Merchich / Sud Maroc,,26192,Morocco 31gr to 35gr  (27 deg 54 min to 31 deg 30 min) N,02-Jun-95,4261,18132,Merchich,Sud Maroc,,,,20,0
Merchich / Sahara,,26193,Morocco south of 31gr  (27 deg 54 min) N,02-Jun-95,4261,18133,Merchich,Sahara,,,,17,0
MGI (Ferro) / Austria West Zone,MGI / Austria West,31291,Austria west of 11Deg. 50Min. E,02-Jun-95,4805,18041,MGI (Ferro),Austria West Zone,,,,abbr req (31),18
MGI (Ferro) / Austria Central Zone,MGI / Austria Central,31292,Austria between 11Deg. 50Min. and 14Deg. 50Min. E,02-Jun-95,4805,18042,MGI (Ferro),Austria Central Zone,,,,abbr req (34),21
MGI (Ferro) / Austria East Zone,MGI / Austria East,31293,Austria east of 14Deg. 50Min. E,02-Jun-95,4805,18043,MGI (Ferro),Austria East Zone,,,,abbr req (31),18
Mhast / UTM zone 32S,,26432,Angola - Cabinda,02-Jun-95,4264,16132,Mhast,UTM zone 32S,,,,20,0
Minna / Nigeria West Belt,Minna / Nigeria West,26391,Nigeria west of 6 deg 30 min E,02-Jun-95,4263,18151,Minna,Nigeria West Belt,,,,abbr req (25),20
Minna / Nigeria Mid Belt,,26392,Nigeria between 6 deg 30 min and 10 deg 30 min E,02-Jun-95,4263,18152,Minna,Nigeria Mid Belt,,,,24,0
Minna / Nigeria East Belt,Minna / Nigeria East,26393,Nigeria east of 10 deg 30 min E,02-Jun-95,4263,18153,Minna,Nigeria East Belt,,,,abbr req (25),20
Minna / UTM zone 31N,,26331,Nigeria - offshore beyond continental shelf west of 6 deg E,02-Jun-95,4263,16031,Minna,UTM zone 31N,,,,20,0
Minna / UTM zone 32N,,26332,Nigeria - offshore beyond continental shelf ,02-Jun-95,4263,16032,Minna,UTM zone 32N,,,,20,0
Monte Mario (Rome) / Italy zone 1,Monte Mario / Italy 1,26591,Italy west of 12 Deg E,02-Jun-95,4806,18121,Monte Mario (Rome),Italy zone 1,,,,abbr req (33),21
Monte Mario (Rome) / Italy zone 2,Monte Mario / Italy 2,26592,Italy east of 12 Deg E,02-Jun-95,4806,18122,Monte Mario (Rome),Italy zone 2,,,,abbr req (33),21
NAD Michigan / Michigan East ,,26801,United States - Michigan,02-Jun-95,4268,12101,NAD Michigan,Michigan State Plane; East zone ,Michigan East ,,,abbr req (29),0
NAD Michigan / Michigan Old Central,,26802,United States - Michigan,02-Jun-95,4268,12102,NAD Michigan,Michigan State Plane; Old Central zone,Michigan Old Central,,,abbr req (35),0
NAD Michigan / Michigan West ,,26803,United States - Michigan,02-Jun-95,4268,12103,NAD Michigan,Michigan State Plane; West zone ,Michigan West ,,,abbr req (29),0
NAD27 / BLM 14N (feet),,26774,United States - Gulf of Mexico - west of 96d W approximately,02-Jun-95,4267,15914,NAD27,BLM zone 14N in feet,BLM 14N (feet),,,22,0
NAD27 / BLM 15N (feet),,26775,United States - Gulf of Mexico - 96d to 90d W,02-Jun-95,4267,15915,NAD27,BLM zone 15N in feet,BLM 15N (feet),,,22,0
NAD27 / BLM 16N (feet),,26776,United States - Gulf of Mexico - 90d to 96d W,02-Jun-95,4267,15916,NAD27,BLM zone 16N in feet,BLM 16N (feet),,,22,0
NAD27 / BLM 17N (feet),,26777,United States - Gulf of Mexico - east of 84d W,02-Jun-95,4267,15917,NAD27,BLM zone 17N in feet,BLM 17N (feet),,,22,0
NAD27 / UTM zone 3N,,26703,North America - 168deg West to 162deg West,02-Jun-95,4267,16003,NAD27,UTM zone 3N,,,,19,0
NAD27 / UTM zone 4N,,26704,North America - 162deg West to 156deg West,02-Jun-95,4267,16004,NAD27,UTM zone 4N,,,,19,0
NAD27 / UTM zone 5N,,26705,North America - 156deg West to 150deg West,02-Jun-95,4267,16005,NAD27,UTM zone 5N,,,,19,0
NAD27 / UTM zone 6N,,26706,North America - 150deg West to 144deg West,02-Jun-95,4267,16006,NAD27,UTM zone 6N,,,,19,0
NAD27 / UTM zone 7N,,26707,North America - 144deg West to 138deg West,02-Jun-95,4267,16007,NAD27,UTM zone 7N,,,,19,0
NAD27 / UTM zone 8N,,26708,North America - 138deg West to 132deg West,02-Jun-95,4267,16008,NAD27,UTM zone 8N,,,,19,0
NAD27 / UTM zone 9N,,26709,North America - 132deg West to 126deg West,02-Jun-95,4267,16009,NAD27,UTM zone 9N,,,,19,0
NAD27 / UTM zone 10N,,26710,North America - 130deg West to 120deg West,02-Jun-95,4267,16010,NAD27,UTM zone 10N,,,,20,0
NAD27 / UTM zone 11N,,26711,North America - 120deg West to 114deg West,02-Jun-95,4267,16011,NAD27,UTM zone 11N,,,,20,0
NAD27 / UTM zone 12N,,26712,North America - 114deg West to 108deg West,02-Jun-95,4267,16012,NAD27,UTM zone 12N,,,,20,0
NAD27 / UTM zone 13N,,26713,North America - 108deg West to 102deg West,02-Jun-95,4267,16013,NAD27,UTM zone 13N,,,,20,0
NAD27 / UTM zone 14N,,26714,North America - 102deg West to 96deg West,02-Jun-95,4267,16014,NAD27,UTM zone 14N,,,,20,0
NAD27 / UTM zone 15N,,26715,North America - 96deg West to 90deg West,02-Jun-95,4267,16015,NAD27,UTM zone 15N,,,,20,0
NAD27 / UTM zone 16N,,26716,North America - 90deg West to 84deg West,02-Jun-95,4267,16016,NAD27,UTM zone 16N,,,,20,0
NAD27 / UTM zone 17N,,26717,North America - 84deg West to 78deg West,02-Jun-95,4267,16017,NAD27,UTM zone 17N,,,,20,0
NAD27 / UTM zone 18N,,26718,North America - 78deg West to 72deg West,02-Jun-95,4267,16018,NAD27,UTM zone 18N,,,,20,0
NAD27 / UTM zone 19N,,26719,North America - 72deg West to 66deg West,02-Jun-95,4267,16019,NAD27,UTM zone 19N,,,,20,0
NAD27 / UTM zone 20N,,26720,North America - 66deg West to 60deg West,02-Jun-95,4267,16020,NAD27,UTM zone 20N,,,,20,0
NAD27 / UTM zone 21N,,26721,North America - 60deg West to 54deg West,02-Jun-95,4267,16021,NAD27,UTM zone 21N,,,,20,0
NAD27 / UTM zone 22N,,26722,North America - 54deg West to 48deg West,02-Jun-95,4267,16022,NAD27,UTM zone 22N,,,,20,0
NAD27 / Alabama East,,26729,United States - Alabama - Counties east of 86d 37m West,02-Jun-95,4267,10101,NAD27,Alabama CS27 East zone,Alabama East,,,20,0
NAD27 / Alabama West,,26730,United States - Alabama - Counties east of 86d 37m West,02-Jun-95,4267,10102,NAD27,Alabama CS27 West zone,Alabama West,,,20,0
NAD27 / Alaska zone 1,,26731,United States - Alaska - Panhandle,02-Jun-95,4267,15001,NAD27,Alaska CS27 zone 1,Alaska zone 1,,,21,0
NAD27 / Alaska zone 2,,26732,United States - Alaska - 141deg. to 144deg. West,02-Jun-95,4267,15002,NAD27,Alaska CS27 zone 2,Alaska zone 2,,,21,0
NAD27 / Alaska zone 3,,26733,United States - Alaska - 144deg. to 148deg. West,02-Jun-95,4267,15003,NAD27,Alaska CS27 zone 3,Alaska zone 3,,,21,0
NAD27 / Alaska zone 4,,26734,United States - Alaska - 148deg. to 152deg. West,02-Jun-95,4267,15004,NAD27,Alaska CS27 zone 4,Alaska zone 4,,,21,0
NAD27 / Alaska zone 5,,26735,United States - Alaska - 152deg. to 156deg. West,02-Jun-95,4267,15005,NAD27,Alaska CS27 zone 5,Alaska zone 5,,,21,0
NAD27 / Alaska zone 6,,26736,United States - Alaska - 156deg. to 160deg. West,02-Jun-95,4267,15006,NAD27,Alaska CS27 zone 6,Alaska zone 6,,,21,0
NAD27 / Alaska zone 7,,26737,United States - Alaska - 160deg. to 164deg. West,02-Jun-95,4267,15007,NAD27,Alaska CS27 zone 7,Alaska zone 7,,,21,0
NAD27 / Alaska zone 8,,26738,United States - Alaska - 164deg. to 168deg. West north of 54d 30m North,02-Jun-95,4267,15008,NAD27,Alaska CS27 zone 8,Alaska zone 8,,,21,0
NAD27 / Alaska zone 9,,26739,United States - Alaska - west of 168deg. West and north of 54d 30m North,02-Jun-95,4267,15009,NAD27,Alaska CS27 zone 9,Alaska zone 9,,,21,0
NAD27 / Alaska zone 10,,26740,United States - Alaska -Aleutian Islands,02-Jun-95,4267,15010,NAD27,Alaska CS27 zone 10,Alaska zone 10,,,22,0
NAD27 / Arizona East ,,26748,United States - Arizona - counties east of 110d 45m West,02-Jun-95,4267,10201,NAD27,Arizona CS  east zone,Arizona East ,,,21,0
NAD27 / Arizona Central,,26749,United States - Arizona - counties between 110d 45m & 113d 20m west,02-Jun-95,4267,10202,NAD27,Arizona CS Central zone,Arizona Central,,,23,0
NAD27 / Arizona West ,,26750,United States - Arizona - counties west of 113d 20m West,02-Jun-95,4267,10203,NAD27,Arizona CS  west zone,Arizona West ,,,21,0
NAD27 / Arkansas North,,26751,United States - Arkansas - counties north of 34d 50m North.,02-Jun-95,4267,10301,NAD27,Arkansas CS27 North,Arkansas North,,,22,0
NAD27 / Arkansas South,,26752,United States - Arkansas - counties south of 34d 50m North.,02-Jun-95,4267,10302,NAD27,Arkansas CS27 South,Arkansas South,,,22,0
NAD27 / California zone I,NAD27 / California I,26741,United States - California - counties north of 40deg North.,02-Jun-95,4267,10401,NAD27,California CS27 zone I,California zone I,,,abbr req (25),20
NAD27 / California zone II,NAD27 / California II,26742,United States - California - counties between 40d & 38d 15m North.,02-Jun-95,4267,10402,NAD27,California CS27 zone II,California zone II,,,abbr req (26),21
NAD27 / California zone III,NAD27 / California III,26743,United States - California - counties between 38d 15m & 37d North.,02-Jun-95,4267,10403,NAD27,California CS27 zone III,California zone III,,,abbr req (27),22
NAD27 / California zone IV,NAD27 / California IV,26744,United States - California - counties between 37d & 35d 30m North.,02-Jun-95,4267,10404,NAD27,California CS27 zone IV,California zone IV,,,abbr req (26),21
NAD27 / California zone V,NAD27 / California V,26745,United States - California - counties between 35d 50m & 34d North.,02-Jun-95,4267,10405,NAD27,California CS27 zone V,California zone V,,,abbr req (25),20
NAD27 / California zone VI,NAD27 / California VI,26746,United States - California - counties south of 34deg North.,02-Jun-95,4267,10406,NAD27,California CS27 zone VI,California zone VI,,,abbr req (26),21
NAD27 / California zone VII,NAD27 / California VII,26747,United States - California - Los Angeles.,02-Jun-95,4267,10407,NAD27,California CS27 zone VII,California zone VII,,,abbr req (27),22
NAD27 / Colorado North,,26753,United States - Colorado - counties north of 39d 50m North.,02-Jun-95,4267,10501,NAD27,Colorado CS27 North zone,Colorado North,,,22,0
NAD27 / Colorado Central,,26754,United States - Colorado - counties between 39d 50m & 38d 30m North.,02-Jun-95,4267,10502,NAD27,Colorado CS27 Central zone,Colorado Central,,,24,0
NAD27 / Colorado South,,26755,United States - Colorado - counties south of 38d 30m North.,02-Jun-95,4267,10503,NAD27,Colorado CS27 South zone,Colorado South,,,22,0
NAD27 / Connecticut ,,26756,United States - Connecticut,02-Jun-95,4267,10600,NAD27,Connecticut CS27,Connecticut ,,,20,0
NAD27 / Delaware ,,26757,United States - Delaware,02-Jun-95,4267,10700,NAD27,Delaware CS27 ,Delaware ,,,17,0
NAD27 / Florida East ,,26758,United States - Florida - counties east of 81d 45m West,02-Jun-95,4267,10901,NAD27,Florida CS27 East zone ,Florida East ,,,21,0
NAD27 / Florida West ,,26759,United States - Florida - counties west of 81d 45m West & south of 29d 30m North,02-Jun-95,4267,10902,NAD27,Florida CS27 West zone ,Florida West ,,,21,0
NAD27 / Florida North,,26760,United States - Florida - north of 29d 30m North & west of 82d West,02-Jun-95,4267,10903,NAD27,Florida CS27 North zone,Florida North,,,21,0
NAD27 / Georgia East ,,26766,United States - Georgia - counties east of 83d 15m West,02-Jun-95,4267,11001,NAD27,Georgia CS27 East zone ,Georgia East ,,,21,0
NAD27 / Georgia West ,,26767,United States - Georgia - counties west of 83d 15m West,02-Jun-95,4267,11002,NAD27,Georgia CS27 West zone ,Georgia West ,,,21,0
NAD27 / Hawaii zone 1,,26761,United States - Hawaii - island of Hawaii,02-Jun-95,4267,15101,NAD27,Hawaii CS27 zone 1,Hawaii zone 1,,,21,0
NAD27 / Hawaii zone 2,,26762,United States - Hawaii - Maui; Kahoolawe; Lanai; Molokai,02-Jun-95,4267,15102,NAD27,Hawaii CS27 zone 2,Hawaii zone 2,,,21,0
NAD27 / Hawaii zone 3,,26763,United States - Hawaii - Oahu,02-Jun-95,4267,15103,NAD27,Hawaii CS27 zone 3,Hawaii zone 3,,,21,0
NAD27 / Hawaii zone 4,,26764,United States - Hawaii - Kauai,02-Jun-95,4267,15104,NAD27,Hawaii CS27 zone 4,Hawaii zone 4,,,21,0
NAD27 / Hawaii zone 5,,26765,United States - Hawaii - Niihau,02-Jun-95,4267,15105,NAD27,Hawaii CS27 zone 5,Hawaii zone 5,,,21,0
NAD27 / Idaho East ,,26768,United States - Idaho - counties east of 113d West,02-Jun-95,4267,11101,NAD27,Idaho CS27 East zone ,Idaho East ,,,19,0
NAD27 / Idaho Central ,,26769,United States - Idaho - counties between 113d & 115d West,02-Jun-95,4267,11102,NAD27,Idaho CS27 Central zone ,Idaho Central ,,,22,0
NAD27 / Idaho West ,,26770,United States - Idaho - counties west of 115d West,02-Jun-95,4267,11103,NAD27,Idaho CS27 West zone ,Idaho West ,,,19,0
NAD27 / Illinois East ,,26771,United States - Illinois - counties east of 89d 05m West,02-Jun-95,4267,11201,NAD27,Illinois CS27 East zone ,Illinois East ,,,22,0
NAD27 / Illinois West ,,26772,United States - Illinois - counties west of 89d 05m West,02-Jun-95,4267,11202,NAD27,Illinois CS27 West zone ,Illinois West ,,,22,0
NAD27 / Indiana East ,,26773,United States - Indiana - counties east of 86d 25m West,02-Jun-95,4267,11301,NAD27,Indiana CS27 East zone ,Indiana East ,,,21,0
NAD27 / Indiana West ,,26774,United States - Indiana - counties west of 86d 25m West,02-Jun-95,4267,11302,NAD27,Indiana CS27 West zone ,Indiana West ,,,21,0
NAD27 / Iowa North,,26775,United States - Iowa - counties north of 42deg North.,02-Jun-95,4267,11401,NAD27,Iowa CS27 North zone,Iowa North,,,18,0
NAD27 / Iowa South,,26776,United States - Iowa - counties south of 42deg North.,02-Jun-95,4267,11402,NAD27,Iowa CS27 South zone,Iowa South,,,18,0
NAD27 / Kansas North,,26777,United States - Kansas - counties north of 38d 45m North.,02-Jun-95,4267,11501,NAD27,Kansas CS27 North zone,Kansas North,,,20,0
NAD27 / Kansas South,,26778,United States - Kansas - counties south of 38d 45m North.,02-Jun-95,4267,11502,NAD27,Kansas CS27 South zone,Kansas South,,,20,0
NAD27 / Kentucky North,,26779,United States - Kentucky - counties north of 37d 55m North.,02-Jun-95,4267,11601,NAD27,Kentucky CS27 North zone,Kentucky North,,,22,0
NAD27 / Kentucky South,,26780,United States - Kentucky - counties south of 37d 55m North.,02-Jun-95,4267,11602,NAD27,Kentucky CS27 South zone,Kentucky South,,,22,0
NAD27 / Louisiana North,,26781,United States - Louisiana - counties north of 30d 55m North.,02-Jun-95,4267,11701,NAD27,Louisiana CS27 North zone,Louisiana North,,,23,0
NAD27 / Louisiana South,,26782,United States - Louisiana - counties south of 30d 55m North. Also Gulf of Mexico LA shelf.,02-Jun-95,4267,11702,NAD27,Louisiana CS27 South zone,Louisiana South,,,23,0
NAD27 / Maine East ,,26783,United States - Maine - counties east of 69d 30m West,02-Jun-95,4267,11801,NAD27,Maine CS27 East zone ,Maine East ,,,19,0
NAD27 / Maine West ,,26784,United States - Maine - counties west of 69d 30m West,02-Jun-95,4267,11802,NAD27,Maine CS27 West zone ,Maine West ,,,19,0
NAD27 / Maryland ,,26785,United States - Maryland,02-Jun-95,4267,11900,NAD27,Maryland CS27,Maryland ,,,17,0
NAD27 / Massachusetts Mainland,NAD27 / Massachusetts,26786,United States - Massachusetts onshore,02-Jun-95,4267,12001,NAD27,Massachusetts CS27 Mainland zone,Massachusetts Mainland,,,abbr req (30),21
NAD27 / Massachusetts Island,NAD27 / Massachusetts Is,26787,United States - Massachusetts islands,02-Jun-95,4267,12002,NAD27,Massachusetts CS27 Island zone,Massachusetts Island,,,abbr req (28),24
NAD27 / Michigan North,,26788,United States - Michigan - counties north of 45d 45m North.,02-Jun-95,4267,12111,NAD27,Michigan CS27 North zone,Michigan North,,,22,0
NAD27 / Michigan Central,,26789,United States - Michigan - counties between 45d 45m & 43d 55m North.,02-Jun-95,4267,12112,NAD27,Michigan CS27 Central zone,Michigan Central,,,24,0
NAD27 / Michigan South,,26790,United States - Michigan - counties south of 43d 55m North.,02-Jun-95,4267,12113,NAD27,Michigan CS27 South zone,Michigan South,,,22,0
NAD27 / Minnesota North,,26791,United States - Minnesota - counties north of 47d 10m North.,02-Jun-95,4267,12201,NAD27,Minnesota CS27 North zone,Minnesota North,,,23,0
NAD27 / Minnesota Central,NAD27 / Minnesota Cent.,26792,United States - Minnesota - counties between 47d 10m & 45d 30m North.,02-Jun-95,4267,12202,NAD27,Minnesota CS27 Central zone,Minnesota Central,,,abbr req (25),23
NAD27 / Minnesota South,,26793,United States - Minnesota - counties south of 45d 30m North.,02-Jun-95,4267,12203,NAD27,Minnesota CS27 South zone,Minnesota South,,,23,0
NAD27 / Mississippi East,,26794,United States - Mississippi - counties east of 89d 40m West,02-Jun-95,4267,12301,NAD27,Mississippi CS27 East zone,Mississippi East,,,24,0
NAD27 / Mississippi West,,26795,United States - Mississippi - counties west of 89d 40m West,02-Jun-95,4267,12302,NAD27,Mississippi CS27 West zone,Mississippi West,,,24,0
NAD27 / Missouri East ,,26796,United States - Missouri - counties east of 91d 45m West,02-Jun-95,4267,12401,NAD27,Missouri CS27 East zone ,Missouri East ,,,22,0
NAD27 / Missouri Central,,26797,United States - Missouri - counties between 91d 45m & 93d 35m West,02-Jun-95,4267,12402,NAD27,Missouri CS27 Central zone,Missouri Central,,,24,0
NAD27 / Missouri West ,,26798,United States - Missouri - counties west of 93d 35m West,02-Jun-95,4267,12403,NAD27,Missouri CS27 West zone ,Missouri West ,,,22,0
NAD27 / Montana North,,32001,United States - Montana - counties north of 47d 50m North.,02-Jun-95,4267,12501,NAD27,Montana CS27 North zone,Montana North,,,21,0
NAD27 / Montana Central,,32002,United States - Montana - counties between 47d 50m & 46d 40m North.,02-Jun-95,4267,12502,NAD27,Montana CS27 Central zone,Montana Central,,,23,0
NAD27 / Montana South,,32003,United States - Montana - counties south of 46d 40m North.,02-Jun-95,4267,12503,NAD27,Montana CS27 South zone,Montana South,,,21,0
NAD27 / Nebraska North,,32005,United States - Nebraska,02-Jun-95,4267,12601,NAD27,Nebraska CS27 North zone,Nebraska North,,,22,0
NAD27 / Nebraska South,,32006,United States - Nebraska,02-Jun-95,4267,12602,NAD27,Nebraska CS27 South zone,Nebraska South,,,22,0
NAD27 / Nevada East ,,32007,United States - Nevada - counties east of 116d  West & Eureka county.,02-Jun-95,4267,12701,NAD27,Nevada CS27 East zone ,Nevada East ,,,20,0
NAD27 / Nevada Central,,32008,United States - Nevada - Lander & Nye counties,02-Jun-95,4267,12702,NAD27,Nevada CS27 Central zone ,Nevada Central,,,22,0
NAD27 / Nevada West ,,32009,United States - Nevada - counties west of 117d 15m West,02-Jun-95,4267,12703,NAD27,Nevada CS27 West zone ,Nevada West ,,,20,0
NAD27 / New Hampshire ,,32010,United States - New Hampshire,02-Jun-95,4267,12800,NAD27,New Hampshire CS27 ,New Hampshire ,,,22,0
NAD27 / New Jersey ,,32011,United States - New Jersey,02-Jun-95,4267,12900,NAD27,New Jersey CS27,New Jersey ,,,19,0
NAD27 / New Mexico East ,,32012,United States - New Mexico - counties east of 105d West.,02-Jun-95,4267,13001,NAD27,New Mexico CS27 East zone ,New Mexico East ,,,24,0
NAD27 / New Mexico Central,NAD27 / New Mexico Cent.,32013,United States - New Mexico - counties between 105d & 107d 15m West.,02-Jun-95,4267,13002,NAD27,New Mexico CS27 Central zone,New Mexico Central,,,abbr req (26),24
NAD27 / New Mexico West ,,32014,United States - New Mexico - counties west of 107d 15m West.,02-Jun-95,4267,13003,NAD27,New Mexico CS27 West zone ,New Mexico West ,,,24,0
NAD27 / New York East ,,32015,United States - New York - counties east of 75d 15m West excluding Long Island.,02-Jun-95,4267,13101,NAD27,New York CS27 East zone ,New York East ,,,22,0
NAD27 / New York Central,,32016,United States - New York - counties between 75d 15m & 77d 30m West.,02-Jun-95,4267,13102,NAD27,New York CS27 Central zone,New York Central,,,24,0
NAD27 / New York West ,,32017,United States - New York - counties west of 77d 30m West.,02-Jun-95,4267,13103,NAD27,New York CS27 West zone ,New York West ,,,22,0
NAD27 / New York Long Island,NAD27 / New York Long Is,32018,United States - New York - Long Island,02-Jun-95,4267,13104,NAD27,New York CS27 Long Island zone,New York Long Island,,,abbr req (28),24
NAD27 / North Carolina ,,32019,United States - North Carolina,02-Jun-95,4267,13200,NAD27,North Carolina CS27,North Carolina ,,,23,0
NAD27 / North Dakota North,NAD27 / North Dakota N,32020,United States - North Dakota - counties north of 47d 25m North.,02-Jun-95,4267,13301,NAD27,North Dakota CS27 North zone,North Dakota North,,,abbr req (26),22
NAD27 / North Dakota South,NAD27 / North Dakota S,32021,United States - North Dakota - counties south of 47d 25m North.,02-Jun-95,4267,13302,NAD27,North Dakota CS27 South zone,North Dakota South,,,abbr req (26),22
NAD27 / Ohio North,,32022,United States - Ohio - counties north of 40d 15m North.,02-Jun-95,4267,13401,NAD27,Ohio CS27 North zone,Ohio North,,,18,0
NAD27 / Ohio South,,32023,United States - Ohio - counties south of 40d 15m North.,02-Jun-95,4267,13402,NAD27,Ohio CS27 South zone,Ohio South,,,18,0
NAD27 / Oklahoma North,,32024,United States - Oklahoma - counties north of 35d 20m North.,02-Jun-95,4267,13501,NAD27,Oklahoma CS27 North zone,Oklahoma North,,,22,0
NAD27 / Oklahoma South,,32025,United States - Oklahoma - counties south of 35d 20m North.,02-Jun-95,4267,13502,NAD27,Oklahoma CS27 South zone,Oklahoma South,,,22,0
NAD27 / Oregon North,,32026,United States - Oregon - counties north of 44d 15m North.,02-Jun-95,4267,13601,NAD27,Oregon CS27 North zone,Oregon North,,,20,0
NAD27 / Oregon South,,32027,United States - Oregon - counties south of 44d 15m North.,02-Jun-95,4267,13602,NAD27,Oregon CS27 South zone,Oregon South,,,20,0
NAD27 / Pennsylvania North,NAD27 / Pennsylvania N,32028,United States - Pennsylvania - counties north of 40d 50m North.,02-Jun-95,4267,13701,NAD27,Pennsylvania CS27 North zone,Pennsylvania North,,,abbr req (26),22
NAD27 / Pennsylvania South,NAD27 / Pennsylvania S,32029,United States - Pennsylvania - counties south of 40d 50m North.,02-Jun-95,4267,13702,NAD27,Pennsylvania CS27 South zone,Pennsylvania South,,,abbr req (26),22
NAD27 / Rhode Island ,,32030,United States - Rhode Island,02-Jun-95,4267,13800,NAD27,Rhode Island CS27,Rhode Island ,,,21,0
NAD27 / South Carolina North,NAD27 / South Carolina N,32031,United States - South Carolina,02-Jun-95,4267,13901,NAD27,South Carolina CS27 North zone,South Carolina North,,,abbr req (28),24
NAD27 / South Carolina South,NAD27 / South Carolina S,32033,United States - South Carolina,02-Jun-95,4267,13902,NAD27,South Carolina CS27 South zone,South Carolina South,,,abbr req (28),24
NAD27 / South Dakota North,NAD27 / South Dakota N,32034,United States - South Dakota - counties north of 44d 20m North.,02-Jun-95,4267,14001,NAD27,South Dakota CS27 North zone,South Dakota North,,,abbr req (26),22
