Geographic,Geog.,Area,Geodetic,Geodetic Datum Name,Geodetic,Ellipsoid,Ellipsoid,Prime,Prime,Information Source,Geodetic Datum Remarks,Geographic,Revision,Datum,Datum,GeogCS
Batavia,4211,Indonesia - Java,6211,Batavia,,7004,Bessel 1841 ,8901,Greenwich,,Also known as Genuk. Fundamental Point: Batavia Astro. Station. Latitude: 6Deg  7Min 39.520Sec S; Longitude: 106Deg 48Min 27.790Sec E (of Greenwich).,,02-Jun-95,7,0,7
Batavia (Jakarta),4813,Indonesia - Java,6211,Batavia,,7004,Bessel 1841 ,8908,Jakarta,,Also known as Genuk. Fundamental Point: Batavia Astro. Station. Latitude: 6Deg  7Min 39.520Sec S; Longitude: 106Deg 48Min 27.790Sec E (of Greenwich).,,02-Jun-95,7,0,17
Beduaram,4213,Niger,6213,Beduaram,,7011,Clarke 1880 (IGN) ,8901,Greenwich,,,,02-Jun-95,8,0,8
Beijing 1954,4214,China,6214,Beijing 1954,,7024,Krassowsky 1940 ,8901,Greenwich,,,,02-Jun-95,12,0,12
Belge 1950,4215,Belgium - onshore,6215,Reseau National Belge 1950,Belge 1950,7022,International 1924 ,8901,Greenwich,,Fundamental Point: Lommel (tower). Latitude: 51Deg 13Min 47.334Sec N; Longitude: 0Deg 56Min 44.773Sec E (of Brussels).,,02-Jun-95,abbr req (26),10,10
Belge 1950 (Brussels),4809,Belgium - onshore,6215,Reseau National Belge 1950,Belge 1950,7022,International 1924 ,8910,Brussels,,Fundamental Point: Lommel (tower). Latitude: 51Deg 13Min 47.334Sec N; Longitude: 0Deg 56Min 44.773Sec E (of Brussels).,,02-Jun-95,abbr req (26),10,21
Belge 1972,4313,Belgium - onshore,6313,Reseau National Belge 1972,Belge 1972,7022,International 1924 ,8901,Greenwich,,Fundamental Point: Uccle observatory. Latitude: 50Deg 47Min 57.704Sec N; Longitude: 4Deg 21Min 24.983Sec E (of Greenwich).,,02-Jun-95,abbr req (26),10,10
Bermuda 1957,4216,Bermuda,6216,Bermuda 1957,,7008,Clarke 1866 ,8901,Greenwich,,,,02-Jun-95,12,0,12
Bern 1898,4217,Liechtenstein                                                         Switzerland,6217,Bern 1898,,7004,Bessel 1841 ,8901,Greenwich,"""Die Projektionen der schweizerischen Plan- und Kartenwerke""; J. Bolliger 1967",Fundamental Point: Bern observatory. Latitude: 46Deg 57Min  8.660Sec N; Longitude: 7Deg 26Min 22.500Sec E (of Greenwich).,,02-Jun-95,9,0,9
Bern 1898 (Bern),4801,Liechtenstein                                                         Switzerland,6217,Bern 1898,,7004,Bessel 1841 ,8907,Bern,"""Die Projektionen der schweizerischen Plan- und Kartenwerke""; J. Bolliger 1967",Fundamental Point: Bern observatory. Latitude: 46Deg 57Min  8.660Sec N; Longitude: 7Deg 26Min 22.500Sec E (of Greenwich).,,02-Jun-95,9,0,16
Bern 1938,4306,Liechtenstein                                                         Switzerland,6306,Bern 1938,,7004,Bessel 1841 ,8901,Greenwich,"""Die Projektionen der schweizerischen Plan- und Kartenwerke""; J. Bolliger 1967",Fundamental Point: Bern observatory. Latitude: 46Deg 57Min  7.890Sec N; Longitude: 7Deg 26Min 22.335Sec E (of Greenwich).,,02-Jun-95,9,0,9
Bogota,4218,Colombia,6218,Bogota,,7022,International 1924 ,8901,Greenwich,,Fundamental Point: Bogota observatory. Latitude: 4Deg 35Min 56.570Sec N; Longitude: 74Deg  4Min 51.300Sec W (of Greenwich).,,02-Jun-95,6,0,6
Bogota (Bogota),4802,Colombia,6218,Bogota,,7022,International 1924 ,8904,Bogota,,Fundamental Point: Bogota observatory. Latitude: 4Deg 35Min 56.570Sec N; Longitude: 74Deg  4Min 51.300Sec W (of Greenwich).,,02-Jun-95,6,0,15
Bukit Rimpah,4219,Indonesia - Banga & Belitung Islands,6219,Bukit Rimpah,,7004,Bessel 1841 ,8901,Greenwich,,,,02-Jun-95,12,0,12
Camacupa,4220,Angola,6220,Camacupa,,7012,Clarke 1880 (RGS),8901,Greenwich,,,,02-Jun-95,8,0,8
Campo Inchauspe,4221,Argentina,6221,Campo Inchauspe,,7022,International 1924 ,8901,Greenwich,,Fundamental Point: Campo Inchauspe. Latitude: 35Deg 58Min 17.000Sec S; Longitude: 62Deg 10Min 12.000Sec W (of Greenwich).,,02-Jun-95,15,0,15
Cape,4222,South Africa,6222,Cape,,7012,Clarke 1880 (RGS),8901,Greenwich,,Fundamental Point: Burenkamp. Latitude: 26Deg 39Min  3.019Sec S; Longitude: 15Deg  9Min 58.293Sec E (of Greenwich).,,02-Jun-95,4,0,4
Carthage,4223,Tunisia,6223,Carthage,,7011,Clarke 1880 (IGN) ,8901,Greenwich,,,,02-Jun-95,8,0,8
Chua,4224,Brazil,6224,Chua,,7022,International 1924 ,8901,Greenwich,,Fundamental Point: Chua. Latitude: 19Deg 45Min 41.160Sec S; Longitude: 48Deg  6Min  7.560Sec W (of Greenwich).,,02-Jun-95,4,0,4
Conakry 1905,4315,Guinea,6315,Conakry 1905,,7011,Clarke 1880 (IGN) ,8901,Greenwich,,Fundamental Point: Conakry. Latitude: 10.573766g N; Longitude: 17.833682g W (of Paris).,,02-Jun-95,12,0,12
Corrego Alegre,4225,Brazil - NE coastal area between 45 deg W and 40 deg W.,6225,Corrego Alegre,,7022,International 1924 ,8901,Greenwich,,Fundamental Point: Corrego Alegre. Latitude: 19Deg 50Min 15.140Sec S; Longitude: 48Deg 57Min 42.750Sec W (of Greenwich).,,02-Jun-95,14,0,14
Cote d'Ivoire,4226,Cote d'Ivoire,6226,Cote d'Ivoire,,7011,Clarke 1880 (IGN) ,8901,Greenwich,,,,02-Jun-95,13,0,13
Datum 73,4274,Portugal - onshore,6274,Datum 73,,7022,International 1924 ,8901,Greenwich,Instituto Geografico e Cadastral; Lisbon,Fundamental Point:  Latitude: 39Deg 41Min 37.30Sec N; Longitude: 8Deg 07Min 53.31Sec W (of Greenwich).,,02-Jun-95,8,0,8
Deir ez Zor,4227,Syrian Arab Republic,6227,Deir ez Zor,,7011,Clarke 1880 (IGN) ,8901,Greenwich,,Fundamental Point: Trig. 254 Deir. Latitude: 35Deg 21Min 49.975Sec N; Longitude: 40Deg  5Min 46.770Sec E (of Greenwich).,,02-Jun-95,11,0,11
DHDN,4314,Germany - onshore,6314,Deutsche Hauptdreiecksnetz,DHDN,7004,Bessel 1841 ,8901,Greenwich,,Fundamental Point: Potsdam. Latitude: 52Deg 22Min 53.954Sec N; Longitude: 13Deg 4Min 1.153Sec E (of Greenwich).,,02-Jun-95,abbr req (26),4,4
Douala,4228,Cameroon,6228,Douala,,7011,Clarke 1880 (IGN) ,8901,Greenwich,,,,02-Jun-95,6,0,6
ED50,4230,Europe - west,6230,European Datum 1950,ED50,7022,International 1924 ,8901,Greenwich,,Fundamental Point: Potsdam (Helmert Tower). Latitude: 52Deg 22Min 51.450Sec N; Longitude: 13Deg  3Min 58.740Sec E (of Greenwich).,,02-Jun-95,19,4,4
ED87,4231,Western Europe,6231,European Datum 1987,ED87,7022,International 1924 ,8901,Greenwich,,,,02-Jun-95,19,4,4
Egypt 1907,4229,Egypt,6229,Egypt 1907,,7020,Helmert 1906 ,8901,Greenwich,,Fundamental Point: Station F1. Latitude: 30Deg  1Min 42.860Sec N; Longitude: 31Deg 16Min 33.600Sec E (of Greenwich).,,02-Jun-95,10,0,10
EUREF89,4258,Europe,6258,European Reference System 1989,EUREF89,7030,WGS 84 ,8901,Greenwich,Norwegian Geodetic Institute geodetic publication 1990:1,Coincides with WGS84 at the one metre level.,,02-Jun-95,abbr req (30),7,7
Fahud,4232,Oman,6232,Fahud,,7012,Clarke 1880 (RGS),8901,Greenwich,,Fundamental Point: Station NO68-024 Fahud. Latitude: 22Deg 17Min 31.182Sec N; Longitude: 56Deg 29Min 18.820Sec E (of Greenwich).,,02-Jun-95,5,0,5
Gandajika 1970,4233,Maldives,6233,Gandajika 1970,,7022,International 1924 ,8901,Greenwich,,,,02-Jun-95,14,0,14
Garoua,4234,Cameroon,6234,Garoua,,7011,Clarke 1880 (IGN) ,8901,Greenwich,,,,02-Jun-95,6,0,6
GD49,4272,New Zealand,6272,New Zealand Geodetic Datum 1949,GD49,7022,International 1924 ,8901,Greenwich,,Fundamental Point: Papatahi. Latitude: 41Deg 19Min  8.900Sec S; Longitude: 175Deg  2Min 51.000Sec E (of Greenwich).,,02-Jun-95,abbr req (31),4,4
GDA94,4283,Australia,6283,Geocentric Datum of Australia 1994,GDA94,7019,GRS 1980,8901,Greenwich,Australian Surveying and Land Information Group Internet WWW page.,Coincident with WGS84 to within 1 metre.,,02-Jun-95,abbr req (34),5,5
Guyane Francaise,4235,French Guyana,6235,Guyane Francaise,,7022,International 1924 ,8901,Greenwich,,,,02-Jun-95,16,0,16
HD72,4237,Hungary,6237,Hungarian Datum 1972,HD72,7023,International 1967 ,8901,Greenwich,,,,02-Jun-95,20,4,4
Herat North,4255,Afghanistan,6255,Herat North,,7022,International 1924 ,8901,Greenwich,,,,02-Jun-95,11,0,11
Hito XVIII 1963,4254,Chile - Tierra del Fuego,6254,Hito XVIII 1963,,7022,International 1924 ,8901,Greenwich,,,,02-Jun-95,15,0,15
Hu Tzu Shan,4236,Taiwan,6236,Hu Tzu Shan,,7022,International 1924 ,8901,Greenwich,,,,02-Jun-95,11,0,11
ID74,4238,Indonesia,6238,Indonesian Datum 1974,ID74,7021,Indonesian National Spheroid ,8901,Greenwich,,Fundamental Point: Padang. Latitude: 0Deg 56Min 38.414Sec S; Longitude: 100Deg 22Min  8.804Sec E (of Greenwich).,,02-Jun-95,21,4,4
Indian 1954,4239,Myanmar                                                   Thailand,6239,Indian 1954,,7015,Everest 1830 (1937 Adjustment) ,8901,Greenwich,,Fundamental Point: Kalianpur. Latitude: 24Deg  7Min 11.260Sec N; Longitude: 77Deg 39Min 17.570Sec E (of Greenwich).,,02-Jun-95,11,0,11
Indian 1975,4240,Thailand,6240,Indian 1975,,7015,Everest 1830 (1937 Adjustment) ,8901,Greenwich,,Fundamental Point: Khau Sakaerang,,02-Jun-95,11,0,11
JAD69,4242,Jamaica,6242,Jamaica 1969,JAD69,7008,Clarke 1866 ,8901,Greenwich,,Fundamental Point: Fort Charles Flagstaff. Latitude: 17Deg 55Min 55.800Sec N; Longitude: 76Deg 56Min 37.260Sec W (of Greenwich).,,02-Jun-95,12,5,5
Jamaica 1875,4241,Jamaica,6241,Jamaica 1875,,7034,Clarke 1880,8901,Greenwich,,Fundamental Point: Fort Charles Flagstaff. Latitude: 17Deg 55Min 55.800Sec N; Longitude: 76Deg 56Min 37.260Sec W (of Greenwich).,,02-Jun-95,12,0,12
Kalianpur,4243,India                                              Pakistan,6243,Kalianpur,,7017,Everest 1830 (1975 Definition) ,8901,Greenwich,,Fundamental Point: Kalianpur. Latitude: 24Deg  7Min 11.260Sec N; Longitude: 77Deg 39Min 17.570Sec E (of Greenwich).,,02-Jun-95,9,0,9
Kandawala,4244,Sri Lanka,6244,Kandawala,,7015,Everest 1830 (1937 Adjustment) ,8901,Greenwich,,,,02-Jun-95,9,0,9
Kertau,4245,Malaysia - West Malaysia                                            Singapore,6245,Kertau,,7018,Everest 1830 Modified ,8901,Greenwich,,Fundamental Point: Kertau. Latitude: 3Deg 27Min 50.710Sec N; Longitude: 102Deg 37Min 24.550Sec E (of Greenwich).,,02-Jun-95,6,0,6
KOC,4246,Kuwait,6246,Kuwait Oil Company,KOC,7012,Clarke 1880 (RGS),8901,Greenwich,,,,02-Jun-95,18,3,3
La Canoa,4247,Venezuela,6247,La Canoa,,7022,International 1924 ,8901,Greenwich,,Fundamental Point: La Canoa. Latitude: 8Deg 34Min 17.170Sec N; Longitude: 63Deg 51Min 34.880Sec W (of Greenwich).,,02-Jun-95,8,0,8
Lake,4249,Venezuela - Lake Maracaibo area,6249,Lake,,7022,International 1924 ,8901,Greenwich,,Fundamental Point: Maracaibo Cathedral. Latitude: 10Deg 38Min 34.678Sec N; Longitude: 71Deg 36Min 20.224Sec W (of Greenwich).,,02-Jun-95,4,0,4
Leigon,4250,Ghana,6250,Leigon,,7012,Clarke 1880 (RGS),8901,Greenwich,,Fundamental Point: GCS Station 121. Latitude: 5Deg 38Min 52.270Sec N; Longitude: 0Deg 11Min 46.080Sec W (of Greenwich).,,02-Jun-95,6,0,6
Liberia 1964,4251,Liberia,6251,Liberia 1964,,7012,Clarke 1880 (RGS),8901,Greenwich,,,,02-Jun-95,12,0,12
Lisbon,4207,Portugal - onshore,6207,Lisbon,,7022,International 1924 ,8901,Greenwich,Instituto Geografico e Cadastral; Lisbon,Fundamental Point: Castelo Sao Jorge; Lisbon. Latitude: 38Deg 42Min 43.631Sec N; Longitude: 9Deg 07Min 54.862Sec W (of Greenwich).,,02-Jun-95,6,0,6
Lisbon (Lisbon),4803,Portugal - onshore,6207,Lisbon,,7022,International 1924 ,8902,Lisbon,Instituto Geografico e Cadastral; Lisbon,Fundamental Point: Castelo Sao Jorge; Lisbon. Latitude: 38Deg 42Min 43.631Sec N; Longitude: 9Deg 07Min 54.862Sec W (of Greenwich).,,02-Jun-95,6,0,15
Loma Quintana,4288,Venezuela - north,6288,Loma Quintana,,7022,International 1924 ,8901,Greenwich,,Fundamental Point: Loma Quintana,,02-Jun-95,13,0,13
Lome,4252,Togo,6252,Lome,,7011,Clarke 1880 (IGN) ,8901,Greenwich,,,,02-Jun-95,4,0,4
Luzon 1911,4253,Philippines,6253,Luzon 1911,,7008,Clarke 1866 ,8901,Greenwich,,Fundamental Point: Balacan. Latitude: 13Deg 33Min 41.000Sec N; Longitude: 121Deg 52Min  3.000Sec E (of Greenwich).,,02-Jun-95,10,0,10
M'poraloko,4266,Gabon,6266,M'poraloko,,7011,Clarke 1880 (IGN) ,8901,Greenwich,,,,02-Jun-95,10,0,10
Mahe 1971,4256,Seychelles,6256,Mahe 1971,,7012,Clarke 1880 (RGS),8901,Greenwich,,Fundamental Point: Mahe,,02-Jun-95,9,0,9
Makassar,4257,Indonesia - south west Sulawesi,6257,Makassar,,7004,Bessel 1841 ,8901,Greenwich,,Fundamental Point: Moncongloe,,02-Jun-95,8,0,8
Makassar (Jakarta),4804,Indonesia - south west Sulawesi,6257,Makassar,,7004,Bessel 1841 ,8908,Jakarta,,Fundamental Point: Moncongloe,,02-Jun-95,8,0,18
Malongo 1987,4259,Angola - Cabinda,6259,Malongo 1987,,7022,International 1924 ,8901,Greenwich,,Fundamental Point: Malongo station Y. Latitude: 5Deg 23Min 34.327Sec S; Longitude: 12Deg 12Min  2.393Sec E (of Greenwich).,,02-Jun-95,12,0,12
Manoca,4260,Cameroon,6260,Manoca,,7012,Clarke 1880 (RGS),8901,Greenwich,,,,02-Jun-95,6,0,6
Massawa,4262,Eritrea,6262,Massawa,,7004,Bessel 1841 ,8901,Greenwich,,,,02-Jun-95,7,0,7
Merchich,4261,Morocco,6261,Merchich,,7011,Clarke 1880 (IGN) ,8901,Greenwich,,,,02-Jun-95,8,0,8
MGI,4312,Austria,6312,Militar-Geographische Institut,MGI,7004,Bessel 1841 ,8901,Greenwich,Bundesamt fur Eich- und Vermessungswesen; Wien,"Fundamental Point: Hermannskogel. Latitude: 48Þ 16' 15.29""N  ; Longitude: 16Þ 17' 41.06""E (of Greenwich).",,02-Jun-95,abbr req (30),3,3
MGI (Ferro),4805,Austria,6312,Militar-Geographische Institut,MGI,7004,Bessel 1841 ,8909,Ferro,Bundesamt fur Eich- und Vermessungswesen; Wien,"Fundamental Point: Hermannskogel. Latitude: 48Þ 16' 15.29""N  ; Longitude: 16Þ 17' 41.06""E (of Greenwich).",,02-Jun-95,abbr req (30),3,11
Mhast,4264,Angola - Cabinda,6264,Mhast,,7022,International 1924 ,8901,Greenwich,,,,02-Jun-95,5,0,5
Minna,4263,Nigeria,6263,Minna,,7012,Clarke 1880 (RGS),8901,Greenwich,,Fundamental Point: Minna base station L40. Latitude: 9Deg 38Min  9.000Sec N; Longitude: 6Deg 30Min 59.000Sec E (of Greenwich).,,02-Jun-95,5,0,5
Monte Mario,4265,Italy,6265,Monte Mario,,7022,International 1924 ,8901,Greenwich,,Fundamental Point: Monte Mario. Latitude: 41Deg 55Min 25.510Sec N; Longitude: 0Deg  0Min  0.000Sec (of Rome).,,02-Jun-95,11,0,11
Monte Mario (Rome),4806,Italy,6265,Monte Mario,,7022,International 1924 ,8906,Rome,,Fundamental Point: Monte Mario. Latitude: 41Deg 55Min 25.510Sec N; Longitude: 0Deg  0Min  0.000Sec (of Rome).,,02-Jun-95,11,0,18
NAD Michigan,4268,United States - Michigan,6268,NAD Michigan,,7009,Clarke 1866 Michigan,8901,Greenwich,,Fundamental Point: Meade's Ranch. Latitude: 39Deg 13Min 26.686Sec N; Longitude: 98Deg 32Min 30.506Sec W (of Greenwich).,,02-Jun-95,12,0,12
NAD27,4267,North and central America,6267,North American Datum 1927,NAD27,7008,Clarke 1866 ,8901,Greenwich,,Fundamental Point: Meade's Ranch. Latitude: 39Deg 13Min 26.686Sec N; Longitude: 98Deg 32Min 30.506Sec W (of Greenwich).,,02-Jun-95,abbr req (25),5,5
NAD83,4269,Canada                                       Greenland                             Mexico                                         United States,6269,North American Datum 1983,NAD83,7019,GRS 1980 ,8901,Greenwich,,Origin at geocentre.,,02-Jun-95,abbr req (25),5,5
Nahrwan 1967,4270,Arabian Gulf,6270,Nahrwan 1967,,7012,Clarke 1880 (RGS),8901,Greenwich,,,,02-Jun-95,12,0,12
Naparima 1972,4271,Trinidad and Tobago,6271,Naparima 1972,,7022,International 1924 ,8901,Greenwich,,Fundamental Point: Naparima. Latitude: 10Deg 16Min 44.860Sec N; Longitude: 61Deg 27Min 34.620Sec W (of Greenwich).,,02-Jun-95,13,0,13
NDG (Paris),4902,France - Alsace,6902,Nord de Guerre,NDG,7027,Plessis 1817,8903,Paris,,,Angle units: grads.,02-Jun-95,14,3,11
NGO 1948,4273,Norway - onshore,6273,NGO 1948,,7005,Bessel Modified ,8901,Greenwich,,,,02-Jun-95,8,0,8
Nord Sahara 1959,4307,Algeria                                              Morocco                                             Tunisia,6307,Nord Sahara 1959,,7011,Clarke 1880 (IGN) ,8901,Greenwich,"""Le System Geodesique Nord-Sahara""; IGN Paris",Conformal transformation from ED50.,,02-Jun-95,16,0,16
Not specified,4001,,6001,Not specified,,7001,Airy 1830 ,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4002,,6002,Not specified,,7002,Airy Modified 1849 ,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4003,,6003,Not specified,,7003,Australian National Spheroid,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4004,,6004,Not specified,,7004,Bessel 1841 ,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4005,,6005,Not specified,,7005,Bessel Modified ,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4006,,6006,Not specified,,7006,Bessel Namibia,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4007,,6007,Not specified,,7007,Clarke 1858 ,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4008,,6008,Not specified,,7008,Clarke 1866 ,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4009,,6009,Not specified,,7009,Clarke 1866 Michigan,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4010,,6010,Not specified,,7010,Clarke 1880 (Benoit) ,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4011,,6011,Not specified,,7011,Clarke 1880 (IGN) ,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4012,,6012,Not specified,,7012,Clarke 1880 (RGS),8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4013,,6013,Not specified,,7013,Clarke 1880 (Arc),8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4014,,6014,Not specified,,7014,Clarke 1880 (SGA 1922),8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4015,,6015,Not specified,,7015,Everest 1830 (1937 Adjustment) ,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4016,,6016,Not specified,,7016,Everest 1830 (1967 Definition) ,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4017,,6017,Not specified,,7017,Everest 1830 (1975 Definition) ,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4018,,6018,Not specified,,7018,Everest 1830 Modified ,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4019,,6019,Not specified,,7019,GRS 1980 ,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4020,,6020,Not specified,,7020,Helmert 1906 ,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4021,,6021,Not specified,,7021,Indonesian National Spheroid ,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4022,,6022,Not specified,,7022,International 1924 ,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4023,,6023,Not specified,,7023,International 1967 ,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4024,,6024,Not specified,,7024,Krassowsky 1940 ,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4025,,6025,Not specified,,7025,NWL 9D ,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4026,,6026,Not specified,,7026,NWL 10D ,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4027,,6027,Not specified,,7027,Plessis 1817,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4028,,6028,Not specified,,7028,Struve 1860,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4029,,6029,Not specified,,7029,War Office,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4030,,6030,Not specified,,7030,WGS 84 ,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4031,,6031,Not specified,,7031,GEM 10C,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4032,,6032,Not specified,,7032,OSU86F,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4033,,6033,Not specified,,7033,OSU91A,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4034,,6034,Not specified,,7034,Clarke 1880,8901,Greenwich,,,,02-Jun-95,13,0,13
Not specified,4035,,6035,Not specified,,7035,Sphere,8901,Greenwich,,,,02-Jun-95,13,0,13
NSWC 9Z-2,4276,World,6276,NSWC 9Z-2,,7025,NWL 9D ,8901,Greenwich,,Transit precise ephemeris before 1991.,,02-Jun-95,9,0,9
NTF,4275,France - onshore,6275,Nouvelle Triangulation Francaise,NTF,7011,Clarke 1880 (IGN) ,8901,Greenwich,,Fundamental Point: Pantheon,,02-Jun-95,abbr req (32),3,3
NTF (Paris),4807,France - onshore,6275,Nouvelle Triangulation Francaise,NTF,7011,Clarke 1880 (IGN) ,8903,Paris,,Fundamental Point: Pantheon,Angle units: grads.,02-Jun-95,abbr req (32),3,11
OS(SN)80,4279,Ireland - onshore                                    United Kingdom - onshore,6279,OS (SN) 1980,OS(SN)80,7001,Airy 1830 ,8901,Greenwich,,Fundamental Point: Herstmonceux. Latitude: 50Deg 51Min 55.271Sec N; Longitude: 0Deg 20Min 45.882Sec E (of Greenwich).,,02-Jun-95,12,8,8
OSGB 1936,4277,United Kingdom - Great Britain - onshore,6277,OSGB 1936,,7001,Airy 1830 ,8901,Greenwich,,Fundamental Point: Herstmonceux. Latitude: 50Deg 51Min 55.271Sec N; Longitude: 0Deg 20Min 45.882Sec E (of Greenwich).,,02-Jun-95,9,0,9
OSGB70,4278,United Kingdom - Great Britain - onshore,6278,OSGB 1970 (SN),OSGB70,7001,Airy 1830 ,8901,Greenwich,,Fundamental Point: Herstmonceux. Latitude: 50Deg 51Min 55.271Sec N; Longitude: 0Deg 20Min 45.882Sec E (of Greenwich).,,02-Jun-95,14,6,6
Padang,4280,Indonesia - Sumatra,6280,Padang 1884,Padang,7004,Bessel 1841 ,8901,Greenwich,,Fundamental Point: Padang,,02-Jun-95,11,6,6
Padang (Jakarta),4808,Indonesia - Sumatra,6280,Padang 1884,Padang,7004,Bessel 1841 ,8908,Jakarta,,Fundamental Point: Padang,,02-Jun-95,11,6,16
Palestine 1923,4281,Jordan                                           Lebanon,6281,Palestine 1923,,7010,Clarke 1880 (Benoit) ,8901,Greenwich,,Fundamental Point: Jerusalem. Latitude: 31Deg 44Min  2.749Sec N; Longitude: 35Deg 12Min 43.490Sec E (of Greenwich).,,02-Jun-95,14,0,14
Pointe Noire,4282,Congo,6282,Pointe Noire,,7011,Clarke 1880 (IGN) ,8901,Greenwich,,Fundamental Point: Point Noire Astro. Latitude: 4Deg 47Min  0.100Sec S; Longitude: 11Deg 51Min  1.550Sec E (of Greenwich).,,02-Jun-95,12,0,12
