area_code,area_name,area_of_use,area_south_bound_lat,area_north_bound_lat,area_west_bound_lon,area_east_bound_lon,area_polygon_file_ref,iso_a2_code,iso_a3_code,iso_n_code,remarks,information_source,data_source,revision_date,change_id,deprecated
1047,Bermuda,Bermuda - onshore and offshore.,28.91,35.73,-68.83,-60.7,urn:ogc:def:extent-polygon:EPSG::1047,BM,BMU,60,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.068 2014.025,0
1048,Bhutan,Bhutan.,26.7,28.33,88.75,92.12,urn:ogc:def:extent-polygon:EPSG::1048,BT,BTN,64,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2010.086 2012.060 2014.025,0
1049,Bolivia,Bolivia.,-22.91,-9.67,-69.66,-57.52,urn:ogc:def:extent-polygon:EPSG::1049,BO,BOL,68,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2011.037 2014.025,0
1050,Bosnia and Herzegovina,Bosnia and Herzegovina.,42.56,45.27,15.74,19.62,urn:ogc:def:extent-polygon:EPSG::1050,BA,BIH,70,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2008.045 2008.053 2008.054 2011.095 2014.025,0
1051,Botswana,Botswana.,-26.88,-17.78,19.99,29.38,urn:ogc:def:extent-polygon:EPSG::1051,BW,BWA,72,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2014.025,0
1052,Bouvet Island,Bouvet Island - onshore and offshore.,-57.8,-51.06,-2.38,9.21,urn:ogc:def:extent-polygon:EPSG::1052,BV,BVT,74,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2012.023 2014.025,0
1053,Brazil,"Brazil - onshore and offshore. Includes Rocas, Fernando de Noronha archipelago, Trindade, Ihlas Martim Vaz and Sao Pedro e Sao Paulo.",-35.71,7.04,-74.01,-25.28,urn:ogc:def:extent-polygon:EPSG::1053,BR,BRA,76,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.037 2012.044 2014.025,0
1054,British Indian Ocean Territory,British Indian Ocean Territory - onshore and offshore - Chagos Archipelago.,-10.8,-2.28,67.88,75.86,urn:ogc:def:extent-polygon:EPSG::1054,IO,IOT,86,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2012.048 2014.025,0
1055,Brunei,Brunei Darussalam - onshore and offshore.,4.01,6.31,112.37,115.37,urn:ogc:def:extent-polygon:EPSG::1055,BN,BRN,96,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2008.070 2010.084 2012.040 2014.025,0
1056,Bulgaria,Bulgaria - onshore and offshore.,41.24,44.23,22.36,31.35,urn:ogc:def:extent-polygon:EPSG::1056,BG,BGR,100,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.095 2014.025,0
1057,Burkina Faso,Burkina Faso.,9.39,15.09,-5.53,2.4,urn:ogc:def:extent-polygon:EPSG::1057,BF,BFA,854,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2014.025,0
1058,Burundi,Burundi.,-4.45,-2.3,28.98,30.86,urn:ogc:def:extent-polygon:EPSG::1058,BI,BDI,108,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2012.049 2014.025,0
1059,Cambodia,Cambodia - onshore and offshore.,8.78,14.71,101.33,107.64,urn:ogc:def:extent-polygon:EPSG::1059,KH,KHM,116,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2012/04/18,2002.341 2005.890 2012.040,0
1060,Cameroon,Cameroon - onshore and offshore.,1.65,13.09,8.32,16.21,urn:ogc:def:extent-polygon:EPSG::1060,CM,CMR,120,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2012.049 2014.025,0
1061,Canada,"Canada - onshore and offshore - Alberta; British Columbia (BC); Manitoba; New Brunswick (NB); Newfoundland and Labrador; Northwest Territories (NWT); Nova Scotia (NS); Nunavut; Ontario; Prince Edward Island (PEI); Quebec; Saskatchewan; Yukon.",40.04,86.46,-141.01,-47.74,urn:ogc:def:extent-polygon:EPSG::1061,CA,CAN,124,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2006.463 2011.068 2014.025,0
1062,Cape Verde,"Cape Verde - onshore and offshore. Includes Boa Vista, Brava, Fogo, Maio, Sal, Santo Antao, Sao Nicolau, Sao Tiago, Sao Vicente.",11.47,20.54,-28.85,-19.53,urn:ogc:def:extent-polygon:EPSG::1062,CV,CPV,132,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2012.049 2014.025,0
1063,Cayman Islands,"Cayman Islands - onshore and offshore. Includes Grand Cayman, Little Cayman and Cayman Brac.",17.58,20.68,-83.6,-78.72,urn:ogc:def:extent-polygon:EPSG::1063,KY,CYM,136,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.068 2014.025,0
1064,Central African Republic,Central African Republic.,2.22,11.01,14.41,27.46,urn:ogc:def:extent-polygon:EPSG::1064,CF,CAF,140,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2012.049 2014.025,0
1065,Chad,Chad.,7.45,23.46,13.46,24.01,urn:ogc:def:extent-polygon:EPSG::1065,TD,TCD,148,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2006.540 2012.049 2014.025,0
1066,Chile,"Chile - onshore and offshore. Includes Easter Island, Juan Fernandez Islands, San Felix, and Sala y Gomez.",-59.87,-17.5,-113.21,-65.72,urn:ogc:def:extent-polygon:EPSG::1066,CL,CHL,152,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.037 2014.025,0
1067,China,China - onshore and offshore.,16.7,53.56,73.62,134.77,urn:ogc:def:extent-polygon:EPSG::1067,CN,CHN,156,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2012.050 2014.025,0
1068,Christmas Island,Christmas Island - onshore and offshore.,-13.92,-8.72,102.14,109.04,urn:ogc:def:extent-polygon:EPSG::1068,CX,CXR,162,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2012.027 2014.025,0
1069,Cocos (Keeling) Islands - onshore,Cocos (Keeling) Islands - onshore.,-12.25,-12.08,96.76,96.92,urn:ogc:def:extent-polygon:EPSG::1069,,,,,OGP,OGP,2014/05/01,2002.341 2005.890 2012.007 2012.027 2014.025,0
1070,Colombia,"Colombia - onshore and offshore. Includes San Andres y Providencia, Malpelo Islands, Roncador Bank, Serrana Bank and Serranilla Bank.",-4.23,15.51,-84.77,-66.87,urn:ogc:def:extent-polygon:EPSG::1070,CO,COL,170,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.037 2012.044 2014.025,0
1071,Comoros,"Comoros - onshore and offshore. Includes Anjouan, Grande Comore, Moheli and other islands.",-14.43,-8.01,41.93,45.79,urn:ogc:def:extent-polygon:EPSG::1071,KM,COM,174,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2012.048 2014.025,0
1072,Congo,Congo - onshore and offshore.,-6.91,3.72,8.84,18.65,urn:ogc:def:extent-polygon:EPSG::1072,CG,COG,178,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2012.049 2014.025,0
1073,Cook Islands,Cook Islands - onshore and offshore.,-25.28,-5.85,-168.53,-154.8,urn:ogc:def:extent-polygon:EPSG::1073,CK,COK,184,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2012.048 2014.025,0
1074,Costa Rica,Costa Rica - onshore and offshore.,2.15,11.77,-90.45,-81.43,urn:ogc:def:extent-polygon:EPSG::1074,CR,CRI,188,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.068 2014.025,0
1075,Cote d'Ivoire (Ivory Coast),Côte d'Ivoire (Ivory Coast) - onshore and offshore.,1.02,10.74,-8.61,-2.48,urn:ogc:def:extent-polygon:EPSG::1075,CI,CIV,384,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2012.049 2014.025,0
1076,Croatia,Croatia - onshore and offshore.,41.62,46.54,13,19.43,urn:ogc:def:extent-polygon:EPSG::1076,HR,HRV,191,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2007.077 2011.095 2014.025,0
1077,Cuba,Cuba - onshore and offshore.,18.83,25.51,-87.01,-73.57,urn:ogc:def:extent-polygon:EPSG::1077,CU,CUB,192,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.068 2014.025,0
1078,Cyprus,Cyprus - onshore and offshore.,32.88,36.21,29.95,35.2,urn:ogc:def:extent-polygon:EPSG::1078,CY,CYP,196,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.095 2014.025,0
1079,Czech Republic,Czech Republic.,48.58,51.06,12.09,18.86,urn:ogc:def:extent-polygon:EPSG::1079,CZ,CZE,203,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2011.095 2014.025,0
1080,Denmark,Denmark - onshore and offshore.,54.36,58.27,3.24,16.51,urn:ogc:def:extent-polygon:EPSG::1080,DK,DNK,208,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.095 2014.025,0
1081,Djibouti,Djibouti - onshore and offshore.,10.94,12.72,41.75,44.15,urn:ogc:def:extent-polygon:EPSG::1081,DJ,DJI,262,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2012.049 2014.025,0
1082,Dominica,Dominica - onshore and offshore.,14.48,16.62,-62.82,-57.52,urn:ogc:def:extent-polygon:EPSG::1082,DM,DMA,212,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.068 2014.025,0
1083,Dominican Republic,Dominican Republic - onshore and offshore.,14.96,22.42,-73.46,-66.82,urn:ogc:def:extent-polygon:EPSG::1083,DO,DOM,214,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.068 2011.069 2014.025,0
1084,East Timor,Timor-Leste (East Timor) - onshore and offshore. Includes enclave of Oe-Cussi (Okusi).,-11.34,-7.97,123.94,128.21,urn:ogc:def:extent-polygon:EPSG::1084,TL,TLS,626,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2008.070 2012.057 2014.025,0
1085,Ecuador,Ecuador - onshore and offshore. Includes Galapagos Islands (Archipelago de Colon).,-5.01,5,-95.35,-75.21,urn:ogc:def:extent-polygon:EPSG::1085,EC,ECU,218,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.037 2014.025,0
1086,Egypt,Egypt - onshore and offshore.,21.89,33.82,24.7,37.91,urn:ogc:def:extent-polygon:EPSG::1086,EG,EGY,818,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2012.042 2014.025,0
1087,El Salvador,El Salvador - onshore and offshore.,9.97,14.44,-91.43,-87.65,urn:ogc:def:extent-polygon:EPSG::1087,SV,SLV,222,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.068 2014.025,0
1088,Equatorial Guinea,"Equatorial Guinea - onshore and offshore. Includes Rio Muni, Bioko, Annobon, Corisco, Elobey Chico, and Ebony Grande.",-4.8,4.13,2.26,11.36,urn:ogc:def:extent-polygon:EPSG::1088,GQ,GNQ,226,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2012.049 2014.025,0
1089,Eritrea,Eritrea - onshore and offshore.,12.36,18.1,36.44,43.31,urn:ogc:def:extent-polygon:EPSG::1089,ER,ERI,232,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2012.049 2014.025,0
1090,Estonia,Estonia - onshore and offshore.,57.52,60,20.37,28.2,urn:ogc:def:extent-polygon:EPSG::1090,EE,EST,233,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.095 2014.025,0
1091,Ethiopia,Ethiopia.,3.4,14.89,32.99,47.99,urn:ogc:def:extent-polygon:EPSG::1091,ET,ETH,231,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2012.049 2014.025,0
1092,Falkland Islands,Falkland Islands (Malvinas) - onshore and offshore.,-56.25,-47.68,-65.01,-52.31,urn:ogc:def:extent-polygon:EPSG::1092,FK,FLK,238,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2008.070 2011.037 2014.025,0
1093,Faroe Islands,Faroe Islands - onshore and offshore.,59.94,65.7,-13.91,-0.48,urn:ogc:def:extent-polygon:EPSG::1093,FO,FRO,234,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.095 2014.025,0
1094,Fiji - onshore,"Fiji - onshore. Includes Viti Levu, Vanua Levu, Taveuni, the Yasawa Group, the Kadavu Group, the Lau Islands and Rotuma Islands.",-20.81,-12.42,176.81,-178.15,urn:ogc:def:extent-polygon:EPSG::1094,,,,Area crosses 180-degree meridian.,OGP,OGP,2014/05/01,2002.341 2005.890 2006.500 2012.025 2012.048 2014.025,0
1095,Finland,Finland - onshore and offshore.,58.84,70.09,19.08,31.59,urn:ogc:def:extent-polygon:EPSG::1095,FI,FIN,246,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2008.112 2011.095 2014.025,0
1096,France,"France - onshore and offshore, mainland and Corsica.",41.15,51.56,-9.86,10.38,urn:ogc:def:extent-polygon:EPSG::1096,FR,FRA,250,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2012/01/05,2002.341 2005.890 2008.030 2011.095,0
1097,French Guiana,French Guiana - onshore and offshore.,2.11,8.88,-54.6,-49.46,urn:ogc:def:extent-polygon:EPSG::1097,GF,GUF,254,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2011/05/09,2002.341 2005.890 2011.037,0
1098,French Polynesia,"French Polynesia - onshore and offshore. Includes Society archipelago, Tuamotu archipelago, Marquesas Islands, Gambier Islands and Austral Islands.",-31.24,-4.52,-158.13,-131.97,urn:ogc:def:extent-polygon:EPSG::1098,PF,PYF,258,Clipperton Island included in ISO 3166 area excluded for this OGP area as geodetically unrelated and from 2007 administrative responsibility moved to Paris.,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2012.032 2012.048 2014.025,0
1099,French Southern Territories,"French Southern Territories - onshore and offshore. Includes Amsterdam and St Paul, Bassas da India, Crozet, Europa, Glorieuses, Juan de Nova, Kerguelen and Tromelin.",-53.24,-10.65,37.55,81.83,urn:ogc:def:extent-polygon:EPSG::1099,TF,ATF,260,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2008.045 2012.032 2012.048 2014.025,0
1100,Gabon,Gabon - onshore and offshore.,-6.37,2.32,7.03,14.52,urn:ogc:def:extent-polygon:EPSG::1100,GA,GAB,266,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2012/05/08,2002.341 2005.890 2012.042,0
1101,Gambia,Gambia - onshore and offshore.,13.05,13.83,-20.19,-13.79,urn:ogc:def:extent-polygon:EPSG::1101,GM,GMB,270,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2012.049 2014.025,0
1102,Georgia,Georgia - onshore and offshore.,41.04,43.59,38.97,46.72,urn:ogc:def:extent-polygon:EPSG::1102,GE,GEO,268,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.095 2014.025,0
1103,Germany,Germany - onshore and offshore.,47.27,55.92,3.34,15.04,urn:ogc:def:extent-polygon:EPSG::1103,DE,DEU,276,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.095 2014.025,0
1104,Ghana,Ghana - onshore and offshore.,1.4,11.16,-3.79,2.1,urn:ogc:def:extent-polygon:EPSG::1104,GH,GHA,288,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2012/04/18,2002.341 2005.890 2012.049,0
1105,Gibraltar,Gibraltar - onshore and offshore.,36,36.16,-5.42,-4.89,urn:ogc:def:extent-polygon:EPSG::1105,GI,GIB,292,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.095 2014.025,0
1106,Greece,"Greece - onshore and offshore. Includes Aegean Islands, Ionian Islands, Dodecanese Islands, Crete, and Mount Athos.",33.26,41.75,18.26,30.23,urn:ogc:def:extent-polygon:EPSG::1106,GR,GRC,300,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.095 2014.025,0
1107,Greenland,Greenland - onshore and offshore.,56.38,87.03,-75,8.12,urn:ogc:def:extent-polygon:EPSG::1107,GL,GRL,304,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.068 2014.025,0
1108,Grenada,Grenada and southern Grenadine Islands - onshore and offshore.,11.36,13.4,-63.28,-60.82,urn:ogc:def:extent-polygon:EPSG::1108,GD,GRD,308,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2011.068 2014.025,0
1109,Guadeloupe,"Guadeloupe - onshore and offshore. Includes Grande Terre, Basse Terre, Marie Galante, Les Saintes, Iles de la Petite Terre, La Desirade; St Barthélemy, and northern St Martin.",15.06,18.54,-63.66,-57.54,urn:ogc:def:extent-polygon:EPSG::1109,GP,GLP,312,,ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso,OGP,2014/05/01,2002.341 2005.890 2008.070 2011.051 2011.068 2014.025,0
