"GEOD_DATUM_CODE","GEOD_DAT_EPSG_NAME","GEOD_DAT_EPSG_ABBR","GEOD_DAT_USER_NAME","ORIGIN_DESCRIPTION","ELLIPSOID_CODE","REVISION_DATE","INFORMATION_SOURCE","DATA_SOURCE","REMARKS","CHANGE_ID"
6017,Not specified (based on ellipsoid 7017),,,,7017,1996-09-12 00:00:00,,EPSG,Not a valid datum.  Included for coordinate systems where datum is unknown.,96.08
6018,Not specified (based on ellipsoid 7018),,,,7018,1996-09-12 00:00:00,,EPSG,Not a valid datum.  Included for coordinate systems where datum is unknown.,96.08
6019,Not specified (based on ellipsoid 7019),,,,7019,1996-09-12 00:00:00,,EPSG,Not a valid datum.  Included for coordinate systems where datum is unknown.,96.08
6020,Not specified (based on ellipsoid 7020),,,,7020,1996-09-12 00:00:00,,EPSG,Not a valid datum.  Included for coordinate systems where datum is unknown.,96.08
6021,Not specified (based on ellipsoid 7021),,,,7021,1996-09-12 00:00:00,,EPSG,Not a valid datum.  Included for coordinate systems where datum is unknown.,96.08
6022,Not specified (based on ellipsoid 7022),,,,7022,1996-09-12 00:00:00,,EPSG,Not a valid datum.  Included for coordinate systems where datum is unknown.,96.08
6024,Not specified (based on ellipsoid 7024),,,,7024,1996-09-12 00:00:00,,EPSG,Not a valid datum.  Included for coordinate systems where datum is unknown.,96.08
6025,Not specified (based on ellipsoid 7025),,,,7025,1996-09-12 00:00:00,,EPSG,Not a valid datum.  Included for coordinate systems where datum is unknown.,96.08
6026,Not specified (based on ellipsoid 7026),,,,7026,1996-09-12 00:00:00,,EPSG,Not a valid datum.  Included for coordinate systems where datum is unknown.,96.08
6027,Not specified (based on ellipsoid 7027),,,,7027,1996-09-12 00:00:00,,EPSG,Not a valid datum.  Included for coordinate systems where datum is unknown.,96.08
6028,Not specified (based on ellipsoid 7028),,,,7028,1996-09-12 00:00:00,,EPSG,Not a valid datum.  Included for coordinate systems where datum is unknown.,96.08
6029,Not specified (based on ellipsoid 7029),,,,7029,1996-09-12 00:00:00,,EPSG,Not a valid datum.  Included for coordinate systems where datum is unknown.,96.08
6030,Not specified (based on ellipsoid 7030),,,,7030,1996-09-12 00:00:00,,EPSG,Not a valid datum.  Included for coordinate systems where datum is unknown.,96.08
6031,Not specified (based on ellipsoid 7031),,,,7031,1996-09-12 00:00:00,,EPSG,Not a valid datum.  Included for coordinate systems where datum is unknown.,96.08
6032,Not specified (based on ellipsoid 7032),,,,7032,1996-09-12 00:00:00,,EPSG,Not a valid datum.  Included for coordinate systems where datum is unknown.,96.08
6033,Not specified (based on ellipsoid 7033),,,,7033,1996-09-12 00:00:00,,EPSG,Not a valid datum.  Included for coordinate systems where datum is unknown.,96.08
6034,Not specified (based on ellipsoid 7034),,,,7034,1996-09-12 00:00:00,,EPSG,Not a valid datum.  Included for coordinate systems where datum is unknown.,96.08
6035,Not specified (based on ellipsoid 7035),,,,7035,1996-09-12 00:00:00,,EPSG,Not a valid datum.  Included for coordinate systems where datum is unknown.,96.08
6036,Not specified (based on ellipsoid 7036),,,,7036,1996-09-12 00:00:00,,EPSG,Not a valid datum.  Included for coordinate systems where datum is unknown.,
6120,Greek,,,Fundamental point: Athens Observatory; latitude 37 deg 58 min 20.132 sec N; longitude 23 deg 42 min 58.815 sec E of Greenwich,7004,1997-06-16 00:00:00,Topography Department; National Technical University of Athens,EPSG,See geodetic datum alias 6404.  Used as basis of topographic mapping based on Hatt projection.,
6121,Greek Geodetic Reference System 1987,GGRS87,,Fundamental point: Dionysos; latitude 38 deg 04 min 33.8 sec N; longitude 23 deg 55 min 51.0 sec E of Greenwich; geoid height 7.0 m.,7019,1997-06-16 00:00:00,L. Portokalakis; Public Petroleum Corporation of Greece,EPSG,Superceded (old) Greek datum.  Oil industry work based on ED50.,
6122,Average Terrestrial System 1977,ATS77,,,7041,1997-07-02 00:00:00,New Brunswick Geographic Information Corporation land and water information standards manual.,EPSG,In use from 1979.  To be phased out in late 1990's.,
6123,Kartastokoordinaattijarjestelma,KKJ,,Adjustment with fundamental point based on ED50 transformed to best fit the older VVJ adjustment.,7022,1997-07-22 00:00:00,www.nls.fi/maa/papers/kkj.html,EPSG,Adopted in 1970.,
6124,Rikets koordinatsystem 1990,RT90,,,7004,1997-11-13 00:00:00,National Land Survey of Sweden,EPSG,Supercedes RT38 adjustment (datum code 6308),
6125,Samboja,,,Original origin station P2 Exc now destroyed.  Extensions recomputed using Toran station T9 as origin.,7004,1997-11-13 00:00:00,Total Indonesia.,EPSG,,
6126,Lithuania 1994 (ETRS89),LKS94 (ETRS89),,Densification from 4  ETRS89 points.,7019,1998-03-12 00:00:00,HNIT-Baltic GeoInfoServisas,EPSG,Densification of ETRS89 during the 1992 Baltic campaign.,
6127,Tete,,,Fundamental point: Tete.,7008,1998-04-16 00:00:00,Mozambique Direcção Nacional de Geografia e Cadastral (DINAGECA).,EPSG,,
6128,Madzansua,,,Fundamental point: Madzansua.,7008,1998-04-16 00:00:00,Mozambique Direcção Nacional de Geografia e Cadastral (DINAGECA).,EPSG,Superceded by transformation to Tete datum (datum code 6127).,
6129,Observatario,,,Fundamental point: Maputo observatory.,7008,1998-04-16 00:00:00,Mozambique Direcção Nacional de Geografia e Cadastral (DINAGECA).,EPSG,Superceded by transformation to Tete datum (datum code 6127).,
6130,Moznet (ITRF94),Moznet,,ITRF 1994 epoch 20,7030,1998-04-16 00:00:00,Mozambique Direcção Nacional de Geografia e Cadastral (DINAGECA).,EPSG,,
6131,Indian 1960,,,,7015,1998-11-11 00:00:00,,EPSG,DMA adjustment of IndoChina part of the Indian 1954 network to better fit local geoid.  Also known as Indian (DMA Reduced).,
6132,Final Datum 1958,FD58,,Fundamental point: Maniyur.  Latitude: 31Deg 23Min 59.19Sec N; Longitude: 48Deg 32Min 31.38Sec E (of Greenwich).,7012,1998-11-11 00:00:00,IOEPC records,EPSG,Network included in Nahrwan 1967 adjustment.,
6200,Pulkovo 1995,,,Fundamental Point: Pulkovo observatory. Latitude: 59Deg 46Min 15.359Sec N; Longitude: 30Deg 19Min 28.318Sec E (of Greenwich).,7024,1996-09-12 00:00:00,"\"Main Terms of Reference for the State Geodetic Network\"; Federal Geodetic Service of Russia; 1994",EPSG,,
6201,Adindan,,,Fundamental Point: Station 15; Adindan. Latitude: 22Deg 10Min  7.110Sec N; Longitude: 31Deg 29Min 21.608Sec E (of Greenwich).,7012,1995-06-02 00:00:00,,EPSG,,
6202,Australian Geodetic Datum 1966,AGD66,,Fundamental Point: Johnson Memorial. Latitude: 25Deg 56Min 54.551Sec S; Longitude: 133Deg 12Min 30.077Sec E (of Greenwich).,7003,1995-06-02 00:00:00,Australian Map Grid Technical Manual. National Mapping Council of Australia Technical Publication 7; 1972.,EPSG,,
6203,Australian Geodetic Datum 1984,AGD84,,,7003,1995-06-02 00:00:00,,EPSG,,
6204,Ain el Abd 1970,Ain el Abd,,Fundamental Point: Ain El Abd.  Latitude: 28Deg  14Min 06.171Sec N; Longitude: 48Deg 16Min 20.906Sec E (of Greenwich).,7022,1995-06-02 00:00:00,,EPSG,,
6205,Afgooye,,,,7024,1995-06-02 00:00:00,,EPSG,,
6206,Agadez,,,,7011,1995-06-02 00:00:00,,EPSG,,
6207,Lisbon,,,Fundamental Point: Castelo Sao Jorge; Lisbon. Latitude: 38Deg 42Min 43.631Sec N; Longitude: 9Deg 07Min 54.862Sec W (of Greenwich).,7022,1995-06-02 00:00:00,Instituto Geografico e Cadastral; Lisbon,EPSG,,
6208,Aratu,,,,7022,1995-06-02 00:00:00,,EPSG,,
6209,Arc 1950,,,Fundamental Point: Buffelsfontein. Latitude: 33Deg 59Min 32.000Sec S; Longitude: 25Deg 30Min 44.622Sec E (of Greenwich).,7013,1995-06-02 00:00:00,,EPSG,,
6210,Arc 1960,,,Fundamental Point: Buffelsfontein. Latitude: 33Deg 59Min 32.000Sec S; Longitude: 25Deg 30Min 44.622Sec E (of Greenwich).,7012,1995-06-02 00:00:00,,EPSG,,
6211,Batavia,,,Fundamental Point: Batavia Astro. Station. Latitude: 6Deg  7Min 39.520Sec S; Longitude: 106Deg 48Min 27.790Sec E (of Greenwich).,7004,1995-06-02 00:00:00,,EPSG,,
6212,Barbados,,,,7012,1995-06-02 00:00:00,,EPSG,,
6213,Beduaram,,,,7011,1995-06-02 00:00:00,,EPSG,,
6214,Beijing 1954,,,,7024,1995-06-02 00:00:00,,EPSG,,
6215,Reseau National Belge 1950,Belge 1950,,Fundamental Point: Lommel (tower). Latitude: 51Deg 13Min 47.334Sec N; Longitude: 0Deg 56Min 44.773Sec E (of Brussels).,7022,1995-06-02 00:00:00,,EPSG,,
6216,Bermuda 1957,,,,7008,1995-06-02 00:00:00,,EPSG,,
6217,Bern 1898,,,Fundamental Point: Bern observatory. Latitude: 46Deg 57Min  8.660Sec N; Longitude: 7Deg 26Min 22.500Sec E (of Greenwich).,7004,1995-06-02 00:00:00,"\"Die Projektionen der schweizerischen Plan- und Kartenwerke\"; J. Bolliger 1967",EPSG,,
6218,Bogota,,,Fundamental Point: Bogota observatory. Latitude: 4Deg 35Min 56.570Sec N; Longitude: 74Deg  4Min 51.300Sec W (of Greenwich).,7022,1995-06-02 00:00:00,,EPSG,,
6219,Bukit Rimpah,,,,7004,1995-06-02 00:00:00,,EPSG,,
6220,Camacupa,,,,7012,1995-06-02 00:00:00,,EPSG,,
6221,Campo Inchauspe,,,Fundamental Point: Campo Inchauspe. Latitude: 35Deg 58Min 17.000Sec S; Longitude: 62Deg 10Min 12.000Sec W (of Greenwich).,7022,1995-06-02 00:00:00,,EPSG,,
6222,Cape,,,Fundamental Point: Burenkamp. Latitude: 26Deg 39Min  3.019Sec S; Longitude: 15Deg  9Min 58.293Sec E (of Greenwich).,7013,1996-10-18 00:00:00,"Private Communication, Directorate of Surveys and Land Information, Cape Town.",EPSG,,9625
6223,Carthage,,,,7011,1995-06-02 00:00:00,,EPSG,,
6224,Chua,,,Fundamental Point: Chua. Latitude: 19Deg 45Min 41.160Sec S; Longitude: 48Deg  6Min  7.560Sec W (of Greenwich).,7022,1995-06-02 00:00:00,,EPSG,,
6225,Corrego Alegre,,,Fundamental Point: Corrego Alegre. Latitude: 19Deg 50Min 15.140Sec S; Longitude: 48Deg 57Min 42.750Sec W (of Greenwich).,7022,1995-06-02 00:00:00,,EPSG,,
6226,Cote d'Ivoire,,,,7011,1995-06-02 00:00:00,,EPSG,,
6227,Deir ez Zor,,,Fundamental Point: Trig. 254 Deir. Latitude: 35Deg 21Min 49.975Sec N; Longitude: 40Deg  5Min 46.770Sec E (of Greenwich).,7011,1995-06-02 00:00:00,,EPSG,,
6228,Douala,,,,7011,1995-06-02 00:00:00,,EPSG,,
6229,Egypt 1907,,,Fundamental Point: Station F1. Latitude: 30Deg  1Min 42.860Sec N; Longitude: 31Deg 16Min 33.600Sec E (of Greenwich).,7020,1995-06-02 00:00:00,,EPSG,,
6230,European Datum 1950,ED50,,Fundamental Point: Potsdam (Helmert Tower). Latitude: 52Deg 22Min 51.450Sec N; Longitude: 13Deg  3Min 58.740Sec E (of Greenwich).,7022,1995-06-02 00:00:00,,EPSG,,
6231,European Datum 1987,ED87,,,7022,1995-06-02 00:00:00,,EPSG,,
6232,Fahud,,,Fundamental Point: Station NO68-024 Fahud. Latitude: 22Deg 17Min 31.182Sec N; Longitude: 56Deg 29Min 18.820Sec E (of Greenwich).,7012,1995-06-02 00:00:00,,EPSG,,
6233,Gandajika 1970,,,,7022,1995-06-02 00:00:00,,EPSG,,
6234,Garoua,,,,7011,1995-06-02 00:00:00,,EPSG,,
6235,Guyane Francaise,,,,7022,1995-06-02 00:00:00,,EPSG,,
6236,Hu Tzu Shan,,,,7022,1995-06-02 00:00:00,,EPSG,,
6237,Hungarian Datum 1972,HD72,,"Fundamental Point: Szolohegy. Latitude: 47Deg 17Min 32,6156Sec N; Longitude 19Deg 36Min 09.9865Sec E; geoid height 6.56m.",7036,1996-10-18 00:00:00,http://lazarus.elte.hu/gb/geodez/geod3.htm,EPSG,,96.09
6238,Indonesian Datum 1974,ID74,,Fundamental Point: Padang. Latitude: 0Deg 56Min 38.414Sec S; Longitude: 100Deg 22Min  8.804Sec E (of Greenwich).,7021,1995-06-02 00:00:00,,EPSG,,
6239,Indian 1954,,,Fundamental Point: Kalianpur. Latitude: 24Deg  7Min 11.260Sec N; Longitude: 77Deg 39Min 17.570Sec E (of Greenwich).,7015,1995-06-02 00:00:00,,EPSG,,
6240,Indian 1975,,,Fundamental Point: Khau Sakaerang,7015,1995-06-02 00:00:00,,EPSG,,
6241,Jamaica 1875,,,Fundamental Point: Fort Charles Flagstaff. Latitude: 17Deg 55Min 55.800Sec N; Longitude: 76Deg 56Min 37.260Sec W (of Greenwich).,7034,1995-06-02 00:00:00,,EPSG,,
6242,Jamaica 1969,JAD69,,Fundamental Point: Fort Charles Flagstaff. Latitude: 17Deg 55Min 55.800Sec N; Longitude: 76Deg 56Min 37.260Sec W (of Greenwich).,7008,1995-06-02 00:00:00,,EPSG,,
6243,Kalianpur,,,Fundamental Point: Kalianpur. Latitude: 24Deg  7Min 11.260Sec N; Longitude: 77Deg 39Min 17.570Sec E (of Greenwich).,7017,1995-06-02 00:00:00,,EPSG,,
6244,Kandawala,,,,7015,1995-06-02 00:00:00,,EPSG,,
6245,Kertau,,,Fundamental Point: Kertau. Latitude: 3Deg 27Min 50.710Sec N; Longitude: 102Deg 37Min 24.550Sec E (of Greenwich).,7018,1995-06-02 00:00:00,,EPSG,,
6246,Kuwait Oil Company,KOC,,,7012,1995-06-02 00:00:00,,EPSG,,
6247,La Canoa,,,Fundamental Point: La Canoa. Latitude: 8Deg 34Min 17.170Sec N; Longitude: 63Deg 51Min 34.880Sec W (of Greenwich).,7022,1995-06-02 00:00:00,,EPSG,,
6248,Provisional South American Datum 1956,PSAD56,,Fundamental Point: La Canoa. Latitude: 8Deg 34Min 17.170Sec N; Longitude: 63Deg 51Min 34.880Sec W (of Greenwich).,7022,1995-06-02 00:00:00,,EPSG,,
6249,Lake,,,Fundamental Point: Maracaibo Cathedral. Latitude: 10Deg 38Min 34.678Sec N; Longitude: 71Deg 36Min 20.224Sec W (of Greenwich).,7022,1995-06-02 00:00:00,,EPSG,,
6250,Leigon,,,Fundamental Point: GCS Station 121. Latitude: 5Deg 38Min 52.270Sec N; Longitude: 0Deg 11Min 46.080Sec W (of Greenwich).,7012,1995-06-02 00:00:00,,EPSG,,
6251,Liberia 1964,,,,7012,1995-06-02 00:00:00,,EPSG,,
6252,Lome,,,,7011,1995-06-02 00:00:00,,EPSG,,
6253,Luzon 1911,,,Fundamental Point: Balacan. Latitude: 13Deg 33Min 41.000Sec N; Longitude: 121Deg 52Min  3.000Sec E (of Greenwich).,7008,1995-06-02 00:00:00,,EPSG,,
6254,Hito XVIII 1963,,,,7022,1995-06-02 00:00:00,,EPSG,,
6255,Herat North,,,,7022,1995-06-02 00:00:00,,EPSG,,
6256,Mahe 1971,,,Fundamental Point: Mahe,7012,1995-06-02 00:00:00,,EPSG,,
6257,Makassar,,,Fundamental Point: Moncongloe,7004,1995-06-02 00:00:00,,EPSG,,
6258,European Terrestrial Reference System 89,ETRS89,,,7019,1997-11-13 00:00:00,Norwegian Geodetic Institute geodetic publication 1990:1,EPSG,Coincides with WGS84 at the one metre level.,97.11  97.55
6259,Malongo 1987,,,Fundamental Point: Station Y at Malongo base camp. Latitude: 5Deg 23Min 34.327Sec S; Longitude: 12Deg 12Min  2.393Sec E (of Greenwich).,7022,1995-06-02 00:00:00,Chevron Petroleum Technology.,EPSG,Offshore extension of Mhast datum (6264) using Transit translocation.,
6260,Manoca,,,,7012,1995-06-02 00:00:00,,EPSG,,
6261,Merchich,,,,7011,1995-06-02 00:00:00,,EPSG,,
6262,Massawa,,,,7004,1995-06-02 00:00:00,,EPSG,,
6263,Minna,,,Fundamental Point: Minna base station L40. Latitude: 9Deg 38Min  9.000Sec N; Longitude: 6Deg 30Min 59.000Sec E (of Greenwich).,7012,1995-06-02 00:00:00,,EPSG,,
6264,Mhast,,,,7022,1995-06-02 00:00:00,,EPSG,,
6265,Monte Mario,,,Fundamental Point: Monte Mario. Latitude: 41Deg 55Min 25.510Sec N; Longitude: 0Deg  0Min  0.000Sec (of Rome).,7022,1995-06-02 00:00:00,,EPSG,,
6266,M'poraloko,,,,7011,1995-06-02 00:00:00,,EPSG,,
6267,North American Datum 1927,NAD27,,Fundamental Point: Meade's Ranch. Latitude: 39Deg 13Min 26.686Sec N; Longitude: 98Deg 32Min 30.506Sec W (of Greenwich).,7008,1995-06-02 00:00:00,,EPSG,,
6268,NAD Michigan,,,Fundamental Point: Meade's Ranch. Latitude: 39Deg 13Min 26.686Sec N; Longitude: 98Deg 32Min 30.506Sec W (of Greenwich).,7009,1995-06-02 00:00:00,,EPSG,,
6269,North American Datum 1983,NAD83,,Origin at geocentre.,7019,1995-06-02 00:00:00,,EPSG,,
6270,Nahrwan 1967,,,Fundamental point: Nahrwan south base.  Latitude: 33Deg 19Min 10.87Sec N; Longitude: 44Deg 43Min 25.54Sec E (of Greenwich).,7012,1995-06-02 00:00:00,,EPSG,,
6271,Naparima 1972,,,Fundamental Point: Naparima. Latitude: 10Deg 16Min 44.860Sec N; Longitude: 61Deg 27Min 34.620Sec W (of Greenwich).,7022,1995-06-02 00:00:00,,EPSG,,
6272,New Zealand Geodetic Datum 1949,GD49,,Fundamental Point: Papatahi. Latitude: 41Deg 19Min  8.900Sec S; Longitude: 175Deg  2Min 51.000Sec E (of Greenwich).,7022,1995-06-02 00:00:00,,EPSG,,
6273,NGO 1948,,,,7005,1995-06-02 00:00:00,,EPSG,,
6274,Datum 73,,,Fundamental Point:  Latitude: 39Deg 41Min 37.30Sec N; Longitude: 8Deg 07Min 53.31Sec W (of Greenwich).,7022,1995-06-02 00:00:00,Instituto Geografico e Cadastral; Lisbon,EPSG,,
6275,Nouvelle Triangulation Francaise,NTF,,Fundamental Point: Pantheon,7011,1995-06-02 00:00:00,,EPSG,,
6276,NSWC 9Z-2,,,,7025,1995-06-02 00:00:00,,EPSG,Transit precise ephemeris before 1991.,
6277,OSGB 1936,,,Fundamental Point: Herstmonceux. Latitude: 50Deg 51Min 55.271Sec N; Longitude: 0Deg 20Min 45.882Sec E (of Greenwich).,7001,1995-06-02 00:00:00,,EPSG,,
6278,OSGB 1970 (SN),OSGB70,,Fundamental Point: Herstmonceux. Latitude: 50Deg 51Min 55.271Sec N; Longitude: 0Deg 20Min 45.882Sec E (of Greenwich).,7001,1995-06-02 00:00:00,,EPSG,,
6279,OS (SN) 1980,OS(SN)80,,Fundamental Point: Herstmonceux. Latitude: 50Deg 51Min 55.271Sec N; Longitude: 0Deg 20Min 45.882Sec E (of Greenwich).,7001,1995-06-02 00:00:00,,EPSG,,
6280,Padang 1884,Padang,,Fundamental Point: Padang,7004,1995-06-02 00:00:00,,EPSG,,
6281,Palestine 1923,,,Fundamental Point: Jerusalem. Latitude: 31Deg 44Min  2.749Sec N; Longitude: 35Deg 12Min 43.490Sec E (of Greenwich).,7010,1995-06-02 00:00:00,,EPSG,,
6282,Pointe Noire,,,Fundamental Point: Point Noire Astro. Latitude: 4Deg 47Min  0.100Sec S; Longitude: 11Deg 51Min  1.550Sec E (of Greenwich).,7011,1995-06-02 00:00:00,,EPSG,,
6283,Geocentric Datum of Australia 1994,GDA94,,,7019,1995-06-02 00:00:00,Australian Surveying and Land Information Group Internet WWW page.,EPSG,Coincident with WGS84 to within 1 metre.,
6284,Pulkovo 1942,,,Fundamental Point: Pulkovo observatory. Latitude: 59Deg 46Min 18.550Sec N; Longitude: 30Deg 19Min 42.090Sec E (of Greenwich).,7024,1995-06-02 00:00:00,,EPSG,,
6285,Qatar,,,Fundamental Point: Station G3,7022,1995-06-02 00:00:00,,EPSG,,
6286,Qatar 1948,,,Fundamental Point: Sokey 0 M. Latitude: 25Deg 22Min 56.500Sec N; Longitude: 50Deg 45Min 41.000Sec E (of Greenwich).,7020,1995-06-02 00:00:00,,EPSG,,
6287,Qornoq,,,,7022,1995-06-02 00:00:00,,EPSG,,
6288,Loma Quintana,,,Fundamental Point: Loma Quintana,7022,1995-06-02 00:00:00,,EPSG,,
6289,Amersfoort,,,Fundamental Point: Amersfoort. Latitude: 52Deg  9Min 22.178Sec N; Longitude: 5Deg 23Min 15.478Sec E (of Greenwich).,7004,1995-06-02 00:00:00,,EPSG,,
6291,South American Datum 1969,SAD69,,,7036,1996-10-18 00:00:00,,EPSG,SAD69 uses GRS67 ellipsoid with 1/f to exactly 2 decimal places.  Precision of ellipsoid entry increased from 2 to 5 dp with change id 97.252.  Error introduced if not using the truncated precision is 0 to 31mm.,96.09  97.252
6292,Sapper Hill 1943,,,,7022,1995-06-02 00:00:00,,EPSG,,
6293,Schwarzeck,,,,7006,1995-06-02 00:00:00,,EPSG,,
6294,Segora,,,,7004,1995-06-02 00:00:00,,EPSG,,
6295,Serindung,,,,7004,1995-06-02 00:00:00,,EPSG,,
6296,Sudan,,,,7011,1995-06-02 00:00:00,,EPSG,,
6297,Tananarive 1925,Tananarive,,Fundamental Point: Tananarive observatory. Latitude: 18Deg 55Min  2.100Sec S; Longitude: 45Deg 12Min 52.800Sec E (of Greenwich).,7022,1995-06-02 00:00:00,,EPSG,,
6298,Timbalai 1948,,,Fundamental Point: Timbalai. Latitude: 5Deg 17Min  3.548Sec N; Longitude: 115Deg 10Min 56.409Sec E (of Greenwich).,7016,1995-06-02 00:00:00,,EPSG,,
6299,TM65,,,,7002,1995-06-02 00:00:00,,EPSG,,
6300,TM75,,,,7002,1995-06-02 00:00:00,,EPSG,,
6301,Tokyo,,,Fundamental Point: Tokyo observatory. Latitude: 35Deg 19Min 17.515Sec N; Longitude: 139Deg 44Min 40.900Sec E (of Greenwich).,7004,1995-06-02 00:00:00,,EPSG,,
6302,Trinidad 1903,,,,7007,1995-06-02 00:00:00,,EPSG,,
6303,Trucial Coast 1948,TC(1948),,Fundamental Point: TC1. Latitude: 25Deg 23Min 50.190Sec N; Longitude: 55Deg 26Min 43.950Sec E (of Greenwich).,7020,1995-06-02 00:00:00,,EPSG,,
6304,Voirol 1875,,,Fundamental Point: Voirol. Latitude: 40.835864 grads N; Longitude: 0.788735 grads E of Paris.,7011,1995-06-02 00:00:00,IGN Paris,EPSG,,
6305,Voirol Unifie 1960,Voirol Unifie,,,7011,1995-06-02 00:00:00,"\"Le System Geodesique Nord-Sahara\"; IGN Paris",EPSG,Conformal transformation from ED50. Used only with Lambert Algeria zones: in other cases use Nord Sahara 1959 geodetic datum.,
6306,Bern 1938,,,Fundamental Point: Bern observatory. Latitude: 46Deg 57Min  7.890Sec N; Longitude: 7Deg 26Min 22.335Sec E (of Greenwich).,7004,1995-06-02 00:00:00,"\"Die Projektionen der schweizerischen Plan- und Kartenwerke\"; J. Bolliger 1967",EPSG,Redetermination of coordinates of fundamental point used only for geodetic purposes.,
6307,Nord Sahara 1959,,,,7011,1995-06-02 00:00:00,"\"Le System Geodesique Nord-Sahara\"; IGN Paris",EPSG,Conformal transformation from ED50.,
6308,Stockholm 1938,RT38,,Fundamental Point: Stockholm observatory,7004,1996-04-12 00:00:00,,EPSG,Superceded by RT90 adjustment (datum code 6124),
6309,Yacare,,,,7022,1995-06-02 00:00:00,,EPSG,,
6310,Yoff,,,,7011,1995-06-02 00:00:00,,EPSG,,
6311,Zanderij,,,,7022,1995-06-02 00:00:00,,EPSG,,
6312,Militar-Geographische Institut,MGI,,Fundamental Point: Hermannskogel. Latitude: 48Deg 16Min 15.29Sec N; Longitude: 16Deg 17Min 41.06Sec E (of Greenwich).,7004,1995-06-02 00:00:00,Bundesamt fur Eich- und Vermessungswesen; Wien,EPSG,,
6313,Reseau National Belge 1972,Belge 1972,,Fundamental Point: Uccle observatory. Latitude: 50Deg 47Min 57.704Sec N; Longitude: 4Deg 21Min 24.983Sec E (of Greenwich).,7022,1995-06-02 00:00:00,,EPSG,,
6314,Deutsche Hauptdreiecksnetz,DHDN,,Fundamental Point: Potsdam. Latitude: 52Deg 22Min 53.954Sec N; Longitude: 13Deg 4Min 1.153Sec E (of Greenwich).,7004,1995-06-02 00:00:00,,EPSG,,
6315,Conakry 1905,,,Fundamental Point: Conakry. Latitude: 10.573766g N; Longitude: 17.833682g W (of Paris).,7011,1995-06-02 00:00:00,,EPSG,,
6316,Dealul Piscului 1933,,,Fundamental point: latitude 44deg 24min 33.9606sec N; longitude 26deg 06min 44.8772E (of Greenwich).,7022,1996-04-12 00:00:00,Institute for Geodesy Photogrametry and Land Management,EPSG,Superceded by 1970 adjustment (datum code 6317),
6317,Dealul Piscului 1970,,,Fundamental point: latitude 44deg 24 min 23.7709sec N; longitude 26deg 06min 44.1265sec E (of Greenwich).,7024,1996-04-12 00:00:00,Institute for Geodesy Photogrametry and Land Management,EPSG,Supercedes 1933 adjustment (datum code 6316),
6318,National Geodetic Network,NGN,,,7030,1996-04-12 00:00:00,,EPSG,,
6319,Kuwait Utility,KUDAMS,,,7019,1996-04-12 00:00:00,,EPSG,,
