coord_sys_code,coord_sys_name,coord_sys_type,dimension,remarks,information_source,data_source,revision_date,change_id,deprecated
4467,"Cartesian 2D CS for north polar azimuthal lonO 150 deg W.  Axes: X,Y. Orientations: X along 60 deg West, Y along 30 deg East meridians.  UoM: m.",Cartesian,2,Used for North Pole tangential and secant projections.,OGP,OGP,2006-09-22,,0
4468,"Cartesian 2D CS for north polar azimuthal lonO 45 deg W.  Axes: X,Y. Orientations: X along 45 deg East, Y along 135 deg East meridians.  UoM: m.",Cartesian,2,Used for North Pole tangential and secant projections.,OGP,OGP,2006-09-22,,0
4469,"Cartesian 2D CS for north polar azimuthal lonO 0 deg.  Axes: X,Y. Orientations: X along 90 deg East, Y along 180 deg meridians.  UoM: m.",Cartesian,2,Used for North Pole tangential and secant projections.,OGP,OGP,2006-09-22,,0
4470,"Cartesian 2D CS for south polar azimuthal lonO 0 deg.  Axes: X,Y. Orientations: X along 90 deg East, Y along 0 deg meridians.  UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,OGP,OGP,2006-09-22,,0
4471,"Cartesian 2D CS for south polar azimuthal lonO 165 deg W.  Axes: E,N. Orientations: E along 75 deg West, N along 165 deg West meridians.  UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,EPSG,EPSG,2005-04-14,,0
4472,"Cartesian 2D CS for south polar azimuthal lonO 150 deg W.  Axes: E,N. Orientations: E along 60 deg West, N along 150 deg West meridians.  UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,EPSG,EPSG,2005-04-14,,0
4473,"Cartesian 2D CS for south polar azimuthal lonO 135 deg W.  Axes: E,N. Orientations: E along 45 deg West, N along 135 deg West meridians.  UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,EPSG,EPSG,2005-04-14,,0
4474,"Cartesian 2D CS for south polar azimuthal lonO 105 deg W.  Axes: E,N. Orientations: E along 15 deg West, N along 105 deg West meridians.  UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,EPSG,EPSG,2005-04-14,,0
4475,"Cartesian 2D CS for south polar azimuthal lonO 90 deg W.  Axes: E,N. Orientations: E along 0 deg, N along 90 deg West meridians.  UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,EPSG,EPSG,2005-04-14,,0
4476,"Cartesian 2D CS for south polar azimuthal lonO 75 deg W.  Axes: E,N. Orientations: E along 15 deg East, N along 75 deg West meridians.  UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,EPSG,EPSG,2005-04-14,,0
4477,"Cartesian 2D CS for south polar azimuthal lonO 45 deg W.  Axes: E,N. Orientations: E along 45 deg East, N along 45 deg West meridians.  UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,EPSG,EPSG,2005-04-14,,0
4478,"Cartesian 2D CS for south polar azimuthal lonO 30 deg W.  Axes: E,N. Orientations: E along 60 deg East, N along 30 deg West meridians.  UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,EPSG,EPSG,2005-04-14,,0
4479,"Cartesian 2D CS for south polar azimuthal lonO 15 deg W.  Axes: E,N. Orientations: E along 75 deg East, N along 15 deg West meridians.  UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,EPSG,EPSG,2005-04-14,,0
4480,"Cartesian 2D CS for south polar azimuthal lonO 15 deg E.  Axes: E,N. Orientations: E along 105 deg East, N along 15 deg East meridians.  UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,EPSG,EPSG,2005-04-14,,0
4481,"Cartesian 2D CS for south polar azimuthal lonO 30 deg E.  Axes: E,N. Orientations: E along 120 deg East, N along 30 deg East meridians.  UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,EPSG,EPSG,2005-04-14,,0
4482,"Cartesian 2D CS for south polar azimuthal lonO 45 deg E.  Axes: E,N. Orientations: E along 135 deg East, N along 45 deg East meridians.  UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,EPSG,EPSG,2005-04-14,,0
4483,"Cartesian 2D CS for south polar azimuthal lonO 75 deg E.  Axes: E,N. Orientations: E along 165 deg East, N along 75 deg East meridians.  UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,EPSG,EPSG,2005-04-14,,0
4484,"Cartesian 2D CS for south polar azimuthal lonO 90 deg E.  Axes: E,N. Orientations: E along 180 deg, N along 90 deg East meridians.  UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,EPSG,EPSG,2005-04-14,,0
4485,"Cartesian 2D CS for south polar azimuthal lonO 105 deg E.  Axes: E,N. Orientations: E along 165 deg West, N along 105 deg East meridians.  UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,EPSG,EPSG,2005-04-14,,0
4486,"Cartesian 2D CS for south polar azimuthal lonO 135 deg E.  Axes: E,N. Orientations: E along 135 deg West, N along 135 deg East meridians.  UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,EPSG,EPSG,2005-04-14,,0
4487,"Cartesian 2D CS for south polar azimuthal lonO 150 deg E.  Axes: E,N. Orientations: E along 120 deg West, N along 150 deg East meridians.  UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,EPSG,EPSG,2005-04-14,,0
4488,"Cartesian 2D CS for south polar azimuthal lonO 165 deg E.  Axes: E,N. Orientations: E along 105 deg West, N along 165 deg East meridians.  UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,EPSG,EPSG,2005-04-14,,0
4489,"Cartesian 2D CS for south polar azimuthal lonO 70 deg E.  Axes: E,N. Orientations: E along 160 deg East, N along 70 deg East meridians.  UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,EPSG,EPSG,2003-09-22,,0
4490,"Cartesian 2D CS for south polar azimuthal lonO 0 deg.  Axes: E,N. Orientations: E along 90 deg East, N along 0 deg meridians.  UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,EPSG,EPSG,2003-09-22,,0
4491,"Cartesian 2D CS.  Axes: westing, northing (W,N). Orientations: west, north.  UoM: m.",Cartesian,2,Used in old Danish coordinate reference systems.,Landmaelingar Islands (National Land Survey of Iceland).,EPSG,2001-04-29,,0
4492,"Cartesian 2D CS for south polar azimuthal lonO 140 deg E.  Axes: X,Y. Orientations: X along 130 deg West, Y along 140 deg East meridians.  UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,EPSG,EPSG,2002-11-29,,0
4493,"Cartesian 2D CS for UPS north.  Axes: N,E. Orientations: N along 0 then180 deg meridians, E along 90 deg East meridian.  UoM: m.",Cartesian,2,Used for North Pole tangential and secant projections.,DMA TM8358.2,EPSG,2002-12-23,,0
4494,"Cartesian 2D CS for UPS south.  Axes: N,E. Orientations: N along 0 deg, E along 90 deg East meridians.  UoM: m.",Cartesian,2,Used for South Pole tangential and secant projections.,DMA TM8358.2,EPSG,2002-12-23,,0
4495,"Cartesian 2D CS.  Axes: easting, northing (X,Y). Orientations: east, north.  UoM: ft.",Cartesian,2,Used in projected and engineering coordinate reference systems.,EPSG,EPSG,2001-11-06,,0
4496,"Cartesian 2D CS.  Axes: easting, northing [E(X),N(Y)]. Orientations: east, north.  UoM: m.",Cartesian,2,Used in projected and engineering coordinate reference systems.,EPSG,EPSG,2001-04-29,,0
4497,"Cartesian 2D CS.  Axes: easting, northing (X,Y). Orientations: east, north.  UoM: ftUS.",Cartesian,2,Used in projected and engineering coordinate reference systems.,EPSG,EPSG,2001-04-29,,0
4498,"Cartesian 2D CS.  Axes: easting, northing (Y,X). Orientations: east, north.  UoM: m.",Cartesian,2,Used in projected and engineering coordinate reference systems.,EPSG,EPSG,2001-04-29,,0
4499,"Cartesian 2D CS.  Axes: easting, northing (X,Y). Orientations: east, north.  UoM: m.",Cartesian,2,Used in projected and engineering coordinate reference systems.,EPSG,EPSG,2001-04-29,,0
4500,"Cartesian 2D CS.  Axes: northing, easting (N,E). Orientations: north, east.  UoM: m.",Cartesian,2,Used in projected and engineering coordinate reference systems.,EPSG,EPSG,2001-04-29,,0
4501,"Cartesian 2D CS.  Axes: northing, westing (N,E). Orientations: north, west.  UoM: m.",Cartesian,2,Used in Danish projected coordinate reference systems. Note that second axis has abbreviation E but is positive west.,EPSG,EPSG,2002-01-26,,0
4502,"Cartesian 2D CS.  Axes: northing, easting (N,E). Orientations: north, east.  UoM: ftCla.",Cartesian,2,Used in projected and engineering coordinate reference systems.,OGP,OGP,2006-09-25,,0
4530,"Cartesian 2D CS.  Axes: northing, easting (X,Y). Orientations: north, east.  UoM: m.",Cartesian,2,Used in projected and engineering coordinate reference systems.,EPSG,EPSG,2001-04-29,,0
4531,"Cartesian 2D CS.  Axes: northing, easting (x,y). Orientations: north, east.  UoM: m.",Cartesian,2,Used in projected and engineering coordinate reference systems.,EPSG,EPSG,2001-04-29,,0
4532,"Cartesian 2D CS.  Axes: northing, easting (Y,X). Orientations: north, east.  UoM: m.",Cartesian,2,Used in projected and engineering coordinate reference systems.,EPSG,EPSG,2001-04-29,,0
4533,"Cartesian 2D CS.  Axes:  northing, easting (X,Y). Orientations: north, east.  UoM: lk.",Cartesian,2,Used in projected and engineering coordinate reference systems.,OGP,OGP,2006-07-19,,0
4534,"Cartesian 2D CS.  Axes:  northing, easting (no abbrev). Orientations: north, east.  UoM: m.",Cartesian,2,Used in projected coordinate reference systems for nautical charting.,OGP,OGP,2006-07-30,,0
6401,"Ellipsoidal 3D CS. Axes: latitude, longitude, ellipsoidal height. Orientations: north, east, up.  UoM: DMSH, DMSH, m.",ellipsoidal,3,Used in geographic 3D coordinate reference systems. Preferred axis unit format for human interface.,EPSG,EPSG,2002-11-18,2002.85,1
6402,"Ellipsoidal 2D CS. Axes: latitude, longitude. Orientations: north, east.  UoM: DMSH.",ellipsoidal,2,Used in geographic 2D coordinate reference systems. Preferred axis unit format for human interface.,EPSG,EPSG,2002-11-18,2002.85,1
6403,"Ellipsoidal 2D CS. Axes: latitude, longitude. Orientations: north, east.  UoM: grads.",ellipsoidal,2,Used in geographic 2D coordinate reference systems.,EPSG,EPSG,2002-11-18,2002.85,0
6404,"Spherical 3D CS. Axes: latitude, longitude, radius. Orientations: north, east, up.  UoM: degrees, degrees, metres.",spherical,3,Used in geocentric 3D coordinate reference systems.,Open GIS Consortium,EPSG,2004-01-06,2002.30 2003.39,0
6405,"Ellipsoidal 2D CS. Axes: latitude, longitude. Orientations: north, east.  UoM: dec deg",ellipsoidal,2,Used for computer interchange of geographic 2D coordinate reference systems.,EPSG,EPSG,2002-11-22,,1
6406,"Ellipsoidal 2D CS. Axes: latitude, longitude. Orientations: north, east.  UoM: degH",ellipsoidal,2,Used in geographic 2D coordinate reference systems adopting an alternative representation to degree minute second hemisphere.,EPSG,EPSG,2002-11-22,,1
6407,"Ellipsoidal 2D CS. Axes: latitude, longitude. Orientations: north, east.  UoM: Hdeg",ellipsoidal,2,Used in geographic 2D coordinate reference systems adopting an alternative representation to degree minute second hemisphere.,EPSG,EPSG,2002-11-22,,1
6408,"Ellipsoidal 2D CS. Axes: latitude, longitude. Orientations: north, east.  UoM: DM",ellipsoidal,2,Used in geographic 2D coordinate reference systems adopting an alternative representation to degree minute second hemisphere.,EPSG,EPSG,2002-11-22,,1
6409,"Ellipsoidal 2D CS. Axes: latitude, longitude. Orientations: north, east.  UoM: DMH",ellipsoidal,2,Used in geographic 2D coordinate reference systems adopting an alternative representation to degree minute second hemisphere.,EPSG,EPSG,2002-11-22,,1
6410,"Ellipsoidal 2D CS. Axes: latitude, longitude. Orientations: north, east.  UoM: HDM",ellipsoidal,2,Used in geographic 2D coordinate reference systems adopting an alternative representation to degree minute second hemisphere.,EPSG,EPSG,2002-11-22,,1
6411,"Ellipsoidal 2D CS. Axes: latitude, longitude. Orientations: north, east.  UoM: DMS",ellipsoidal,2,Used in geographic 2D coordinate reference systems adopting an alternative representation to degree minute second hemisphere.,EPSG,EPSG,2002-11-22,,1
6412,"Ellipsoidal 2D CS. Axes: latitude, longitude. Orientations: north, east.  UoM: HDMS",ellipsoidal,2,Used in geographic 2D coordinate reference systems adopting an alternative representation to degree minute second hemisphere.,EPSG,EPSG,2002-11-22,,1
6413,"Ellipsoidal 3D CS. Axes: latitude, longitude, ellipsoidal height. Orientations: north, east, up.  UoM: dec deg, dec deg, m.",ellipsoidal,3,Used for computer interchange of geographic 3D coordinate reference systems.,EPSG,EPSG,2002-11-22,,1
6414,"Ellipsoidal 3D CS. Axes: latitude, longitude, ellipsoidal height. Orientations: north, east, up.  UoM: degH, degH, m.",ellipsoidal,3,Used in geographic 3D coordinate reference systems adopting an alternative representation to degree minute second hemisphere.,EPSG,EPSG,2002-11-22,,1
6415,"Ellipsoidal 3D CS. Axes: latitude, longitude, ellipsoidal height. Orientations: north, east, up.  UoM: Hdeg, Hdeg, m.",ellipsoidal,3,Used in geographic 3D coordinate reference systems adopting an alternative representation to degree minute second hemisphere.,EPSG,EPSG,2002-11-22,,1
6416,"Ellipsoidal 3D CS. Axes: latitude, longitude, ellipsoidal height. Orientations: north, east, up.  UoM: DM, DM, m.",ellipsoidal,3,Used in geographic 3D coordinate reference systems adopting an alternative representation to degree minute second hemisphere.,EPSG,EPSG,2002-11-22,,1
6417,"Ellipsoidal 3D CS. Axes: latitude, longitude, ellipsoidal height. Orientations: north, east, up.  UoM: DMH, DMH, m.",ellipsoidal,3,Used in geographic 3D coordinate reference systems adopting an alternative representation to degree minute second hemisphere.,EPSG,EPSG,2002-11-22,,1
6418,"Ellipsoidal 3D CS. Axes: latitude, longitude, ellipsoidal height. Orientations: north, east, up.  UoM: HDM, HDM, m.",ellipsoidal,3,Used in geographic 3D coordinate reference systems adopting an alternative representation to degree minute second hemisphere.,EPSG,EPSG,2002-11-22,,1
6419,"Ellipsoidal 3D CS. Axes: latitude, longitude, ellipsoidal height. Orientations: north, east, up.  UoM: DMS, DMS, m.",ellipsoidal,3,Used in geographic 3D coordinate reference systems adopting an alternative representation to degree minute second hemisphere.,EPSG,EPSG,2002-11-22,,1
6420,"Ellipsoidal 3D CS. Axes: latitude, longitude, ellipsoidal height. Orientations: north, east, up.  UoM: HDMS, HDMS, m.",ellipsoidal,3,Used in geographic 3D coordinate reference systems adopting an alternative representation to degree minute second hemisphere.,EPSG,EPSG,2002-11-22,,1
6421,"Ellipsoidal 3D CS. Axes: latitude, longitude, ellipsoidal height. Orientations: north, east, up.  UoM: grads, grads, metres.",ellipsoidal,3,Used in geographic 3D coordinate reference systems.,EPSG,EPSG,2002-11-22,,0
6422,"Ellipsoidal 2D CS. Axes: latitude, longitude. Orientations: north, east.  UoM: deg",ellipsoidal,2,"Coordinates referenced to this CS are in degrees. Any degree representation (e.g. DMSH, decimal, etc.) may be used but that used must be declared for the user by the supplier of data. Used in geographic 2D coordinate reference systems.",EPSG,EPSG,2004-01-05,,0
6423,"Ellipsoidal 3D CS. Axes: latitude, longitude, ellipsoidal height. Orientations: north, east, up.  UoM: deg, deg, m.",ellipsoidal,3,"Horizontal coordinates referenced to this CS are in degrees. Any degree representation (e.g. DMSH, decimal, etc.) may be used but that used must be declared for the user. Used in geographic 3D coordinate reference systems.",EPSG,EPSG,2004-01-05,,0
6496,Vertical CS. Axis: height (H). Orientation: up.  UoM: ft(Br36).,vertical,1,Used in vertical coordinate reference systems.,EPSG,EPSG,2006-11-28,,0
6497,Vertical CS. Axis: height (H). Orientation: up.  UoM: ftUS.,vertical,1,Used in vertical coordinate reference systems.,EPSG,EPSG,2006-11-28,,0
6498,Vertical CS. Axis: depth (D). Orientation: down.  UoM: m.,vertical,1,Used in vertical coordinate reference systems.,EPSG,EPSG,2006-11-28,,0
6499,Vertical CS. Axis: height (H). Orientation: up.  UoM: m.,vertical,1,Used in vertical coordinate reference systems.,EPSG,EPSG,2006-11-28,,0
6500,"Earth centred, earth fixed, righthanded 3D coordinate system, consisting of 3 orthogonal axes with X and Y axes in the equatorial plane,  positive Z-axis parallel to mean earth rotation axis and pointing towards North Pole. UoM: m.",Cartesian,3,"Cartesian 3D CS, used in geocentric coordinate reference systems.",EPSG,EPSG,2001-01-19,,0
6501,"Cartesian 2D CS.  Axes: southing, westing (X,Y). Orientations: south, west.  UoM: m.",Cartesian,2,Used in projected and engineering coordinate reference systems.,EPSG,EPSG,2001-04-29,,0
6502,"Cartesian 2D CS.  Axes: westing, southing (Y,X). Orientations: west, south.  UoM: GLM.",Cartesian,2,Used in projected and engineering coordinate reference systems.,EPSG,EPSG,2001-04-29,,0
6503,"Cartesian 2D CS.  Axes: westing, southing (Y,X). Orientations: west, south.  UoM: m.",Cartesian,2,Used in projected and engineering coordinate reference systems.,EPSG,EPSG,2001-04-29,,0
6504,"Cartesian 2D CS.  Axes: plant N, Plant E (n,e). Orientations: northwest, northeast.  UoM: m.",Cartesian,2,Used in engineering coordinate reference systems.,EPSG,EPSG,2001-01-19,,0
6505,"Cartesian 2D CS.  Axes: 1st local axis, 2nd local axis (n,e). Orientations: northwest, northeast.  UoM: m.",Cartesian,2,Used in engineering coordinate reference systems.,EPSG,EPSG,2001-01-19,,0
6506,"Cartesian 2D CS.  Axes: 1st local axis, 2nd local axis (I,J). Orientations: ese/nne.  UoM: 165 x 330 ftUS.",Cartesian,2,Used in engineering coordinate reference systems for seismic bin grids.,EPSG,EPSG,2001-01-19,,0
6507,"Cartesian 2D CS.  Axes: 1st local axis, 2nd local axis (X,Y). Orientations: north, west.  UoM: m.",Cartesian,2,Used in engineering coordinate reference systems.,EPSG,EPSG,2001-01-19,,0
6508,"Cartesian 2D CS.  Axes: bin grid J, bin grid I (J,I). Orientations: nne/ese.  UoM: 12.5 x 25m.",Cartesian,2,Used in engineering coordinate reference systems for seismic bin grids.,EPSG,EPSG,2001-01-19,,0
6509,"Cartesian 2D CS.  Axes: southing, westing (P,M). Orientations: south, west.  UoM: m.",Cartesian,2,Used in old projected coordinate reference systems in Portugal.,EPSG,EPSG,2002-07-13,,0
6510,"Cartesian 2D CS.  Axes: plant E, Plant N (x,y). Orientations: northeast, northwest.  UoM: m.",Cartesian,2,Used in engineering coordinate reference systems.,EPSG,EPSG,2005-05-18,,0
6511,"Seismic acquisition bin grid.  Axes: Inline, Crossline (I,J). Orientations: Along rx line, across rx line.  UoM: 25m x 12.5m.",Cartesian,2,"Bin grid increment on I axis = 1 bin, bin grid increment on J axis = 1 bin.
By definition, I axis is rotated 90 degrees clockwise from J axis.",EPSG,EPSG,2005-09-09,,0
