"COORD_OP_METHOD_CODE","COORD_OP_METHOD_NAME","REVERSE_OP","FORMULA","EXAMPLE","REMARKS","INFORMATION_SOURCE","DATA_SOURCE","REVISION_DATE","CHANGE_ID","DEPRECATED"
9616,Vertical Offset,1,"Xt = [(Xs * Us) + (A * Ua)] * (m / Ut)

where 
Xt = value in the target vertical coordinate reference system.

Xs = value in the source vertical coordinate reference system; 

A is the value of the origin of the target system in the source system.

m is unit direction multiplier (m=1 if both systems are height or both are depth; m = –1 if one system is height and the other system is depth; the value of m is implied through the vertical coordinate reference system type attribute).

Us Ut and Ua are unit conversion ratios to metres for the source and target systems and the offset value A respectively.",,This transformation allows calculation of height (or depth) in the target system by adding the parameter value to the height (or depth)-value of the point in the source system.,EPSG guidance note #7.,EPSG,1999-11-12 00:00:00,99.79,0
9617,Madrid to ED50,0,"The polynomial expressions are:

      dLat seconds = A0 + (A1*lat) + (A2*lon) + (A3*H)
      dLon seconds = B00 + B0 + (B1*lat) + (B2*lon) + (B3*H)

where latitude lat and longitude lon are in decimal degrees referred to the Madrid 1870 (Madrid) geographic coordinate reference system and H is gravity-related height in metres.  B00 is the longitude (in seconds) of the Madrid meridian measured from the Greenwich meridian; it is the value to be applied to a longitude relative to the Madrid meridian to transform it to a longitude relative to the Greenwich meridan.

The results of these expressions are applied through the formulae:
Lat(ED50) = Lat(M1870(M))  + dLat
and Lon(ED50) = Lon(M1870(M))  + dLon.","Input point coordinate system: Madrid 1870 (Madrid) (geographic 3D)
   Latitude    =  42 deg 38 min 52.77 sec N 
                    = 42.647992 degrees
   Longitude  =    3 deg 39 min 34.57 sec E of Madrid
                     = +3.659603 degrees from the Madrid meridian.
   Height        =  0 m

For the north zone transformation:
A1 = 11.328779
A2 = -0.1674
A3 = -0.03852
A4 = 0.0000379
B0 = -13276.58
B1 = 2.5079425
B2 = 0.8352
B3 = -0.00864
B4 = -0.0000038

dLat = +4.05 seconds

Then ED50 latitude = 42 deg 38 min 52.77 sec N + 4.05sec
                               = 42 deg 38 min 56.82 sec N


dLon = -13270.54 seconds  = -3 deg 41 min 10.54 sec

Then ED50 longitude = 3 deg 39 min 34.57 sec E - 3 deg 41 min 10.54 sec
                                  = 0 deg 01 min 35.97 sec W of Greenwich.",,"EPSG guidance note #7, after Institut de Geomatica; Barcelona.",EPSG,2000-03-07 00:00:00,99.284  99.82  99.64,0
9618,Geographical and Height Offsets,1,"Lat_T = Lat_S + latitude_offset 
Lon_T = Lon_S + longitude_offset 
EllipsoidHeight_T = GravityHeight_S + gravity-related_to_ellipsoid_height_offset.",,This transformation allows calculation of coordinates in the target system by adding the parameter value to the coordinate values of the point in the source system.,EPSG guidance note #7.,EPSG,1999-11-12 00:00:00,99.79,0
9619,Geographical Offsets,1,"Lat_T = Lat_S + latitude_offset 
Lon_T = Lon_S + longitude_offset.",,This transformation allows calculation of coordinates in the target system by adding the parameter value to the coordinate values of the point in the source system.,EPSG guidance note #7.,EPSG,1999-11-12 00:00:00,99.79,0
9620,Norway Offshore Interpolation,0,See information source.,,,"Norwegian Mapping Authority note of 13-Feb-1991 ""Om Transformasjon mellom Geodetiske Datum i Norge"".",EPSG,1999-04-22 00:00:00,,0
9621,Similarity transformation,0,"The similarity transformation in algebraic form is:

XT = XT0  + XS. dS. cos q  + YS. dS . sin q
YT = YT0  – XS. dS. sin q  + YS. dS . cos q

where:
XT0 , YT0    =   the coordinates of the origin point of the source coordinate reference system expressed in the target coordinate reference system;
1+dS           =  the length of one unit in the source coordinate reference system expressed in units of the target coordinate reference system;
q                  = the angle about which the axes of the source coordinate reference system need to be rotated to coincide with the axes of the target coordinate reference system, counter-clockwise being positive. Alternatively, the bearing of the source coordinate reference system Y-axis measured relative to target coordinate reference system north.

The similarity transformation can also be described as a special case of the parametric affine transformation where coefficients A1 = B2  and  A2 =  - B1.

Reversibility
In contrast with the affine transformation, the similarity transformation parameters are reversible, but only on the condition that the scale difference between the two coordinate systems is small (order of several parts per million).  Then dS is the deviation from unity of the ratio of the units of measure of the two coordinate reference systems. In these cases the reverse transformation would require a scale correction of 1/(1+dS) * (1-dS).  This enables usage of the same scale and rotation parameters, but with reversed sign, for the reverse transformation. (The rotation angle of +q becomes –q, which is valid for all q).   However for the reverse transformation the translation parameters, XT0’ and YT0’, take entirely different values. Thus for all practical purposes the similarity transformation is not reversible.","Source coordinate system:	Astra Minas Grid (local coordinate system)
Target coordinate system:	Campo Inchauspe / Argentina 2 (projected 2D system)

Note that for the Astra Minas Grid the coordinate axes are:
X  (positive axis oriented north)
Y  (positive axis oriented west)
and coordinates are quoted in that order.

whereas for Campo Inchauspe / Argentina 2 the axes are:
X (positive axis oriented north)
Y (positive axis oriented east)
and coordinates are quoted in that order.

Thus the Astra Minas grid X and Y axes map to the Campo Inchauspe / Argentina 2 Y and X-axes respectively.  With respect to the symbols in the formulas,
XS  = Astra Minas X
YS  = Astra Minas Y
XT  = Campo Inchauspe / Argentina 2 Y
YT  = Campo Inchauspe / Argentina 2 X

Parameters of the similarity transformation:
XT0	=	2610200.48 metre
YT0	=	4905282.73 metre
*	= 271o 05’ 30”  = 271.0916667 degrees
k	= 0  whence (1+k)=1.0

Forward calculation for Astra Minas point :  X (north) =10000 m, Y (west) =50000 m. 

XS  = Astra Minas X = 10000
YS  = Astra Minas Y = 50000

Gauss-Kruger zone 2 Easting (Y) = XT = XT0  + XS. dS. cos q  + YS. dS . sin q
					  = 2610200.48 + (50000 * 1.0 * cos(271.0916667deg)) 
						+ (10000 * 1.0 * sin(271.0916667deg))
					  = 2601154.90 m.

Gauss-Kruger zone 2 Northing (X) =YT = YT0  – XS. dS. sin q  + YS. dS . cos q
				    = 4905282.73 - (50000*1.0* sin(271.0916667deg))
					+ (10000 * 1.0 * cos(271.0916667deg))
						    = 4955464.17 m.",Defined for two-dimensional coordinate systems.,EPSG guidance note #7.,EPSG,2000-10-19 00:00:00,2000.83,0
9622,Affine orthogonal geometric transformation,0,"XT = XT0   +   XS .  k . dSX . cos q   +   YS .  k .  dSY  . sin q
YT = YT0   –   XS .  k .  dSX . sin q    +   YS .  k .  dSY  . cos q

where:

XT0 ,YT0  = the coordinates of the origin point of the source coordinate reference system, expressed in the target coordinate reference system;
dSX , dSY  = the length of one unit of the source  axis, expressed in units of the target axis, for the X axes and the Y- axes respectively;
k = point scale factor of the target coordinate reference system in a chosen reference point;
q  = the angle through which the source coordinate reference system axes must be rotated to coincide with the target coordinate refderence system axes (counter-clockwise is positive). Alternatively, the bearing (clockwise positive) of the source coordinate reference system Y-axis measured relative to target coordinate reference system north.","Source coordinate system: imaginary 3D seismic acquisition bin grid.  The two axes are orthogonal, but the unit on the I-axis is 25 metres, whilst the unit on the J-axis is 12.5 metres.
The target projected coordinate system is WGS 84 / UTM Zone 31N and the origin of the bin grid (centre of bin 0,0) is defined at E = 456781.0, N = 5836723.0.  The projected coordinate system point scale factor at the bin grid origin is 0.99984.
The map grid bearing of the I and J axes are 110* and 20* respectively.  Thus the angle through which both the positive I and J axes need to be rotated to coincide with the positive Easting axis and Northing axis respectively is +20 degrees.

Hence: 
XT0 ,	=    456 781.0 m
YT0	= 5 836 723.0 m
dSX 	= 25
dSY	= 12.5
k 	= 0.99984
q	= +20 degrees

Forward calculation for centre of bin with coordinates: I = 300, J = 247:

XT = Easting   = XT0   +   XS . k . dSX . cos q   +   YS . k . dSY  . sin q    = 464 855.62 m.

YT = Northing = YT0   –   XS . k . dSX . sin q    +   YS . k . dSY  . cos q  = 5 837 055.90 m

Reverse calculation for this point:
XS = [( XT  – XT0) . cos qY  –  (YT – YT0) . sin qY ] / [k . dSX  . cos (qX – qY)] = 230 bins

YS = [(XT   – XT0) . sin qX   +  (YT – YT0) . cos qX ] / [k . dSY . cos (qX – qY)]  = 162 bins",,EPSG guidance note #7.,EPSG,2000-06-10 00:00:00,,0
9623,Affine general geometric transformation,0,"The geometric representation of the general affine transformation:
XT = XT0   +  XS . k . dSX  . cos qX   +  YS . k . dSY  . sin qY
YT = YT0  –  XS . k . dSX   . sin qX   +  YS . k. dSY  . cos qY 
where:

XT0 ,YT0  = the coordinates of the origin point of the source coordinate reference system, expressed in the target coordinate reference system;
dSX , dSY  = the length of one unit of the source axis, expressed in units of the target axis, for the first and second source and target axis pairs respectively;
qX , qY   = the angles about which the source coordinate reference system axes XS and YS must be rotated to coincide with the target coordinate reference system axes XT and YT respectively (counter-clockwise being positive).
k = point scale factor of the target coordinate reference system in a chosen reference point;
 
Comparing the algebraic representation with the parameters of the parameteric form (code 9624) it can be seen that the parametric and geometric forms of the affine transformation are related as follows:
A0  =  XT0
A1  = k . dSX . cos qX  
A2  = k . dSY . sin qY
B0  =  YT0
B1  =   – k . dSX . sin qX
B2  =   k . dSY . cos qY

Reversibility
The parameters for an affine transformation cannot be used for the reverse transformation.  However, the reverse transformation is another affine transformation using the same formulas but with different parameters.  The reverse parameter values can be calculated from from the formulae provided above and applying those to same algorithm.  Alternatively the reverse transformation can be described by a different formula, as shown below, using the same parameters as the forward transformation:

XS = [( XT  – XT0) . cos qY  –  (YT – YT0) . sin qY ] / [k . dSX  . cos (qX – qY)]
YS = [(XT   – XT0) . sin qX   +  (YT – YT0) . cos qX ] / [k . dSY . cos (qX – qY)]",,,EPSG guidance note #7.,EPSG,2000-06-10 00:00:00,,0
9624,Affine general parametric transformation,0,"XT   =  A0  +  A1. XS  +  A2.YS
YT   =  B0  +  B1. XS  +  B2.YS
where
XT , YT  are the coordinates of a point P in the target coordinate reference system;
XS , YS   are the coordinates of P in the source coordinate reference system.

Reversibility
The parameter values for an affine transformation cannot be used for the reverse transformation.  However, the reverse transformation is another affine transformation using the same formulas but with different parameter values.  The reverse parameter values, indicated by a prime (’), can be calculated from those of the forward transformation as follows:

D    = A1 . B2   –   A2 . B1
A0’ = (A2 . B0   –   B2 . A0) / D
B0’ = (B1 . A0   –   A1 . B0) / D
A1’ = +B2 / D
A2’ = – A2 / D
B1’ = – B1 / D
B2’ = +A1 / D",,,EPSG guidance note #7,EPSG,2000-06-10 00:00:00,,0
9625,General polynomial (2nd-order),0,"The simplest of all polynomials is the general polynomial function. In order to avoid problems of numerical instability this type of polynomial should be used after reducing the input parameters, usually coordinate offsets U and V relative to a central evaluation point, to ‘manageable’ numbers, between –10 and +10 at most.

U = XS - XS0 in defined units (which may not be those of the coordinate reference system),
V = YS - YS0

Then (XT - XT0) = (XS - XS0) + dX
         (YT - YT0) = (YS - YS0) + dY 
or
XT  = XS - XS0 + XT0 + dX
YT  = YS - YS0 + YT0 + dY

where
XT , YT   are coordinates in the target coordinate reference system,
XS , YS  are coordinates in the source coordinate reference system,
XS0 , YS0 are coordinates of the evaluation point in the source coordinate reference system,
XT0 , YT0  are coordinates of the evaluation point in the target coordinate reference system.

and where
dX = A0 + A1.U + A2.V + A3.U2 + A4.U.V + A5.V2
dY = B0 + B1.U + B2.V +B3.U2 +B4.U.V +B5.V2",,,EPSG guidance note #7.,EPSG,2000-03-07 00:00:00,,1
9626,General polynomial (3rd-order),0,"The simplest of all polynomials is the general polynomial function. In order to avoid problems of numerical instability this type of polynomial should be used after reducing the input parameters, usually coordinate offsets U and V relative to a central evaluation point, to ‘manageable’ numbers, between –10 and +10 at most.

U = XS - XS0 in defined units (which may not be those of the coordinate reference system),
V = YS - YS0

Then (XT - XT0) = (XS - XS0) + dX
         (YT - YT0) = (YS - YS0) + dY 
or
XT  = XS - XS0 + XT0 + dX
YT  = YS - YS0 + YT0 + dY

where
XT , YT   are coordinates in the target coordinate reference system,
XS , YS  are coordinates in the source coordinate reference system,
XS0 , YS0 are coordinates of the evaluation point in the source coordinate reference system,
XT0 , YT0  are coordinates of the evaluation point in the target coordinate reference system.

and where
dX = A0 + A1.U + A2.V + A3.U2 + A4.U.V + A5.V2 + A6.U3 + A7.U2.V + A8.U.V2 + A9.V3
dY = B0 + B1.U + B2.V +B3.U2 +B4.U.V +B5.V2 + B6.U3 +B7.U2.V +B8.U.V2 +B9.V3",,,EPSG guidance note #7.,EPSG,2000-03-07 00:00:00,,1
9627,General polynomial (4th-order),0,"The simplest of all polynomials is the general polynomial function. In order to avoid problems of numerical instability this type of polynomial should be used after reducing the input parameters, usually coordinate offsets U and V relative to a central evaluation point, to ‘manageable’ numbers, between –10 and +10 at most.

U = XS - XS0 in defined units (which may not be those of the coordinate reference system),
V = YS - YS0

Then (XT - XT0) = (XS - XS0) + dX
         (YT - YT0) = (YS - YS0) + dY 
or
XT  = XS - XS0 + XT0 + dX
YT  = YS - YS0 + YT0 + dY

where
XT , YT   are coordinates in the target coordinate reference system,
XS , YS  are coordinates in the source coordinate reference system,
XS0 , YS0 are coordinates of the evaluation point in the source coordinate reference system,
XT0 , YT0  are coordinates of the evaluation point in the target coordinate reference system.

and where
dX = A0 + A1.U + A2.V + A3.U2 + A4.U.V + A5.V2 + A6.U3 + A7.U2.V + A8.U.V2 + A9.V3 + A10.U4 + A11.U3.V + A12.U2.V2 + A13.U.V3 + A14.V4

dY = B0 + B1.U + B2.V +B3.U2 +B4.U.V +B5.V2 + B6.U3 +B7.U2.V +B8.U.V2 +B9.V3 + B10.U4 + B11.U3.V + B12.U2.V2 + B13.U.V3 + B14.V4",,,EPSG guidance note #7.,EPSG,2000-03-07 00:00:00,,1
9628,Reversible polynomial (2nd-order),1,See EPSG Guidance Note 7.,,Reversibility is subject to constraints.  See Guidance Note 7 for clarification.,EPSG guidance note #7.,EPSG,2000-03-07 00:00:00,99.64,1
9629,Reversible polynomial (3rd-order),1,See EPSG Guidance Note 7.,,Reversibility is subject to constraints.  See Guidance Note 7 for clarification.,EPSG guidance note #7.,EPSG,2000-03-07 00:00:00,99.64,1
