"COORD_OP_CODE","COORD_OP_METHOD_CODE","PARAMETER_CODE","PARAMETER_VALUE","PARAM_VALUE_FILE_REF","UOM_CODE"
1028,9617,8642,-0.0000179,,9203
1029,9632,8619,155000.0,,9001
1029,9632,8620,463000.0,,9001
1029,9632,8621,663395.607,,9001
1029,9632,8622,5781194.38,,9001
1029,9632,8624,-51.681,,9203
1029,9632,8625,3290.525,,9203
1029,9632,8626,20.172,,9203
1029,9632,8627,1.133,,9203
1029,9632,8628,2.075,,9203
1029,9632,8629,0.251,,9203
1029,9632,8630,0.075,,9203
1029,9632,8631,-0.012,,9203
1030,9632,8619,663395.607,,9001
1030,9632,8620,5781194.38,,9001
1030,9632,8621,155000.0,,9001
1030,9632,8622,463000.0,,9001
1030,9632,8624,56.619,,9203
1030,9632,8625,3290.362,,9203
1030,9632,8626,20.184,,9203
1030,9632,8627,-0.861,,9203
1030,9632,8628,2.082,,9203
1030,9632,8629,-0.023,,9203
1030,9632,8630,0.07,,9203
1030,9632,8631,-0.025,,9203
1031,9632,8619,155000.0,,9001
1031,9632,8620,463000.0,,9001
1031,9632,8621,663395.563,,9001
1031,9632,8622,5781194.442,,9001
1031,9632,8624,-51.718,,9203
1031,9632,8625,3290.521,,9203
1031,9632,8626,20.154,,9203
1031,9632,8627,1.152,,9203
1031,9632,8628,2.061,,9203
1031,9632,8629,0.238,,9203
1031,9632,8630,0.058,,9203
1031,9632,8631,-0.013,,9203
1032,9632,8619,663395.563,,9001
1032,9632,8620,5781194.442,,9001
1032,9632,8621,155000.0,,9001
1032,9632,8622,463000.0,,9001
1032,9632,8624,99943.4175,,9203
1032,9632,8625,-3290.3612,,9203
1032,9632,8626,-20.1673,,9203
1032,9632,8627,0.8387,,9203
1032,9632,8628,-2.0651,,9203
1032,9632,8629,0.0334,,9203
1032,9632,8630,-0.0523,,9203
1032,9632,8631,0.23,,9203
1033,9631,8619,0.0,,9001
1033,9631,8620,0.0,,9001
1033,9631,8621,449681.702,,9001
1033,9631,8622,5460505.326,,9001
1033,9631,8624,-71.3747,,9203
1033,9631,8625,1858.8407,,9203
1033,9631,8626,-5.4504,,9203
1033,9631,8627,-16.9681,,9203
1033,9631,8628,4.0783,,9203
1033,9631,8629,0.2193,,9203
1034,9631,8619,500000.0,,9001
1034,9631,8620,5500000.0,,9001
1034,9631,8621,448933.793,,9001
1034,9631,8622,5461423.984,,9001
1034,9631,8624,28.7827,,9203
1034,9631,8625,-1843.8236,,9203
1034,9631,8626,0.0864,,9203
1034,9631,8627,11.9065,,9203
1034,9631,8628,-4.0793,,9203
1034,9631,8629,0.0809,,9203
1035,9621,8611,0.0,,9202
1035,9621,8614,271.053,,9110
1035,9621,8621,2610200.48,,9001
1035,9621,8622,4905282.73,,9001
1036,9633,8664,,ostn97.txt,
1037,9632,8619,155000.0,,9001
1037,9632,8620,463000.0,,9001
1037,9632,8621,526577.124,,9001
1037,9632,8622,5778575.474,,9001
1037,9632,8624,99969.1014,,9203
1037,9632,8625,533.6385,,9203
1037,9632,8626,3.3943,,9203
1037,9632,8627,-0.1391,,9203
1037,9632,8628,2.0658,,9203
1037,9632,8629,0.0677,,9203
1037,9632,8630,0.0561,,9203
1037,9632,8631,-0.0148,,9203
1038,9632,8619,526577.124,,9001
1038,9632,8620,5778575.474,,9001
1038,9632,8621,155000.0,,9001
1038,9632,8622,463000.0,,9001
1038,9632,8624,100028.0577,,9203
1038,9632,8625,-533.9532,,9203
1038,9632,8626,-3.3943,,9203
1038,9632,8627,0.1935,,9203
1038,9632,8628,-2.0687,,9203
1038,9632,8629,-0.0235,,9203
1038,9632,8630,-0.0554,,9203
1038,9632,8631,0.0167,,9203
1039,9633,8664,,OSTN02_OSGM02_GB.txt,
1040,9633,8664,,OSTN02_OSGM02_GB.txt,
1041,9648,8619,53.5,,9102
1041,9648,8620,-7.7,,9102
1041,9648,8621,53.5,,9102
1041,9648,8622,-7.7,,9102
1041,9648,8623,0.763,,9203
1041,9648,8632,-0.374,,9203
1041,9648,8634,2.852,,9203
1041,9648,8635,5.703,,9203
1041,9648,8636,13.11,,9203
1041,9648,8639,-2.81,,9203
1041,9648,8643,-0.119,,9203
1041,9648,8644,0.17,,9203
1041,9648,8645,-0.887,,9203
1041,9648,8646,4.877,,9203
1041,9648,8647,3.913,,9203
1041,9648,8648,2.163,,9203
1041,9648,8650,-46.666,,9203
1041,9648,8651,-27.795,,9203
1041,9648,8652,18.867,,9203
1041,9648,8670,-61.678,,9203
1041,9648,8671,113.743,,9203
1041,9648,8677,-265.898,,9203
1041,9648,8683,-95.377,,9203
1041,9648,8684,-284.294,,9203
1041,9648,8690,-853.95,,9203
1041,9648,8694,0.1,,9201
1041,9648,8695,3600.0,,9201
1041,9648,8716,-4.487,,9203
1041,9648,8717,0.123,,9203
1041,9648,8718,0.215,,9203
1041,9648,8719,-0.515,,9203
1041,9648,8720,0.183,,9203
1041,9648,8721,-0.265,,9203
1041,9648,8722,-0.57,,9203
1041,9648,8723,0.414,,9203
1041,9648,8724,-0.341,,9203
1041,9648,8725,-4.68,,9203
1041,9648,8726,1.196,,9203
1042,9648,8619,53.5,,9102
1042,9648,8620,-7.7,,9102
1042,9648,8621,53.5,,9102
1042,9648,8622,-7.7,,9102
1042,9648,8623,0.763,,9203
1042,9648,8632,-0.374,,9203
1042,9648,8634,2.852,,9203
1042,9648,8635,5.703,,9203
1042,9648,8636,13.11,,9203
1042,9648,8639,-2.81,,9203
1042,9648,8643,-0.119,,9203
1042,9648,8644,0.17,,9203
1042,9648,8645,-0.887,,9203
1042,9648,8646,4.877,,9203
1042,9648,8647,3.913,,9203
1042,9648,8648,2.163,,9203
1042,9648,8650,-46.666,,9203
1042,9648,8651,-27.795,,9203
1042,9648,8652,18.867,,9203
1042,9648,8670,-61.678,,9203
1042,9648,8671,113.743,,9203
1042,9648,8677,-265.898,,9203
1042,9648,8683,-95.377,,9203
1042,9648,8684,-284.294,,9203
1042,9648,8690,-853.95,,9203
1042,9648,8694,0.1,,9201
1042,9648,8695,3600.0,,9201
1042,9648,8716,-4.487,,9203
1042,9648,8717,0.123,,9203
1042,9648,8718,0.215,,9203
1042,9648,8719,-0.515,,9203
1042,9648,8720,0.183,,9203
1042,9648,8721,-0.265,,9203
1042,9648,8722,-0.57,,9203
1042,9648,8723,0.414,,9203
1042,9648,8724,-0.341,,9203
1042,9648,8725,-4.68,,9203
1042,9648,8726,1.196,,9203
1043,9651,8617,55.0,,9102
1043,9651,8618,0.0,,9102
1043,9651,8623,-0.00000556098,,9203
1043,9651,8632,0.0000000568797,,9203
1043,9651,8633,-0.00000000232217,,9203
1043,9651,8634,-0.00000000769931,,9203
1043,9651,8635,-0.00000000786953,,9203
1043,9651,8636,-0.00000000612216,,9203
1043,9651,8637,-0.00000000401382,,9203
1043,9651,8639,0.0000148944,,9203
1043,9651,8643,0.0000015226,,9203
1043,9651,8644,0.000000910592,,9203
1043,9651,8645,-0.000000382241,,9203
1043,9651,8646,-0.000000851732,,9203
1043,9651,8647,-0.000000566713,,9203
1043,9651,8648,-0.000000185188,,9203
1043,9651,8649,0.0000000284312,,9203
1043,9651,8650,0.0000000684853,,9203
1043,9651,8651,0.0000000500828,,9203
1043,9651,8652,0.0000000415937,,9203
1043,9651,8653,0.00000000762236,,9203
1043,9651,8696,1.0,,9201
1043,9651,8716,-0.00000155391,,9203
1043,9651,8717,-0.00000040262,,9203
1043,9651,8718,-0.000000509693,,9203
1043,9651,8719,-0.000000819775,,9203
1043,9651,8720,-0.000000247592,,9203
1043,9651,8721,0.000000136682,,9203
1043,9651,8722,0.000000186198,,9203
1043,9651,8723,0.00000012335,,9203
1043,9651,8724,0.00000268191,,9203
1043,9651,8725,0.0000024529,,9203
1043,9651,8726,0.0000002944,,9203
1044,9653,8619,155000.0,,9001
1044,9653,8620,463000.0,,9001
1044,9653,8621,663395.607,,9001
1044,9653,8622,5781194.38,,9001
1044,9653,8624,-51.681,,9203
1044,9653,8625,3290.525,,9203
1044,9653,8626,20.172,,9203
1044,9653,8627,1.133,,9203
1044,9653,8628,2.075,,9203
1044,9653,8629,0.251,,9203
1044,9653,8630,0.075,,9203
1044,9653,8631,-0.012,,9203
1044,9653,8694,0.00001,,9201
1044,9653,8695,1.0,,9201
1045,9653,8619,663395.607,,9001
1045,9653,8620,5781194.38,,9001
1045,9653,8621,155000.0,,9001
1045,9653,8622,463000.0,,9001
1045,9653,8624,56.619,,9203
1045,9653,8625,3290.362,,9203
1045,9653,8626,20.184,,9203
1045,9653,8627,-0.861,,9203
1045,9653,8628,2.082,,9203
1045,9653,8629,-0.023,,9203
1045,9653,8630,0.07,,9203
1045,9653,8631,-0.025,,9203
1045,9653,8694,0.00001,,9201
1045,9653,8695,1.0,,9201
1046,9653,8619,155000.0,,9001
1046,9653,8620,463000.0,,9001
1046,9653,8621,663395.563,,9001
1046,9653,8622,5781194.442,,9001
1046,9653,8624,-51.718,,9203
1046,9653,8625,3290.521,,9203
1046,9653,8626,20.154,,9203
1046,9653,8627,1.152,,9203
1046,9653,8628,2.061,,9203
1046,9653,8629,0.238,,9203
1046,9653,8630,0.058,,9203
1046,9653,8631,-0.013,,9203
1046,9653,8694,0.00001,,9201
1046,9653,8695,1.0,,9201
1047,9653,8619,663395.563,,9001
1047,9653,8620,5781194.442,,9001
1047,9653,8621,155000.0,,9001
1047,9653,8622,463000.0,,9001
1047,9653,8624,99943.4175,,9203
1047,9653,8625,-3290.3612,,9203
1047,9653,8626,-20.1673,,9203
1047,9653,8627,0.8387,,9203
1047,9653,8628,-2.0651,,9203
1047,9653,8629,0.0334,,9203
1047,9653,8630,-0.0523,,9203
1047,9653,8631,0.23,,9203
1047,9653,8694,0.00001,,9201
1047,9653,8695,1.0,,9201
1048,9652,8619,0.0,,9001
1048,9652,8620,0.0,,9001
1048,9652,8621,449681.702,,9001
1048,9652,8622,5460505.326,,9001
1048,9652,8624,-71.3747,,9203
1048,9652,8625,1858.8407,,9203
1048,9652,8626,-5.4504,,9203
1048,9652,8627,-16.9681,,9203
1048,9652,8628,4.0783,,9203
1048,9652,8629,0.2193,,9203
1048,9652,8694,0.00001,,9201
1048,9652,8695,1.0,,9201
1049,9652,8619,500000.0,,9001
1049,9652,8620,5500000.0,,9001
1049,9652,8621,448933.793,,9001
1049,9652,8622,5461423.984,,9001
1049,9652,8624,28.7827,,9203
1049,9652,8625,-1843.8236,,9203
1049,9652,8626,0.0864,,9203
1049,9652,8627,11.9065,,9203
1049,9652,8628,-4.0793,,9203
1049,9652,8629,0.0809,,9203
1049,9652,8694,0.00001,,9201
1049,9652,8695,1.0,,9201
1050,9653,8619,155000.0,,9001
1050,9653,8620,463000.0,,9001
1050,9653,8621,526577.124,,9001
1050,9653,8622,5778575.474,,9001
1050,9653,8624,99969.1014,,9203
1050,9653,8625,533.6385,,9203
1050,9653,8626,3.3943,,9203
1050,9653,8627,-0.1391,,9203
1050,9653,8628,2.0658,,9203
1050,9653,8629,0.0677,,9203
1050,9653,8630,0.0561,,9203
1050,9653,8631,-0.0148,,9203
1050,9653,8694,0.00001,,9201
1050,9653,8695,1.0,,9201
1051,9653,8619,526577.124,,9001
1051,9653,8620,5778575.474,,9001
1051,9653,8621,155000.0,,9001
1051,9653,8622,463000.0,,9001
1051,9653,8624,100028.0577,,9203
1051,9653,8625,-533.9532,,9203
1051,9653,8626,-3.3943,,9203
1051,9653,8627,0.1935,,9203
1051,9653,8628,-2.0687,,9203
1051,9653,8629,-0.0235,,9203
1051,9653,8630,-0.0554,,9203
1051,9653,8631,0.0167,,9203
1051,9653,8694,0.00001,,9201
1051,9653,8695,1.0,,9201
1052,9654,8617,52.0,,9102
1052,9654,8618,10.0,,9102
1052,9654,8623,-2.65261,,9203
1052,9654,8633,0.17197,,9203
1052,9654,8639,-4.13447,,9203
1052,9654,8643,1.98425,,9203
1052,9654,8644,0.30068,,9203
1052,9654,8645,-2.31939,,9203
1052,9654,8649,-1.70401,,9203
1052,9654,8652,-5.48711,,9203
1052,9654,8669,1.04974,,9203
1052,9654,8681,7.41956,,9203
1052,9654,8684,-1.61351,,9203
1052,9654,8685,5.92933,,9203
1052,9654,8686,-1.97974,,9203
1052,9654,8687,1.57701,,9203
1052,9654,8690,-6.52522,,9203
1052,9654,8691,16.85976,,9203
1052,9654,8692,-1.79701,,9203
1052,9654,8696,0.05235988,,9201
1052,9654,8697,-0.22899,,9203
1052,9654,8698,-0.05401,,9203
1052,9654,8699,-0.78909,,9203
1052,9654,8700,-0.10572,,9203
1052,9654,8701,0.05283,,9203
1052,9654,8702,0.02445,,9203
1052,9654,8703,-3.08344,,9203
1052,9654,8704,-14.32516,,9203
1052,9654,8705,4.49096,,9203
1052,9654,8706,9.9875,,9203
1052,9654,8707,7.80215,,9203
1052,9654,8708,-2.26917,,9203
1052,9654,8709,0.16438,,9203
1052,9654,8710,-17.45428,,9203
1052,9654,8711,-8.25844,,9203
1052,9654,8712,5.28734,,9203
1052,9654,8713,8.87141,,9203
1052,9654,8714,-3.48015,,9203
1052,9654,8715,0.71041,,9203
1052,9654,8716,2.06392,,9203
1052,9654,8717,0.77921,,9203
1052,9654,8718,0.26743,,9203
1052,9654,8719,0.10706,,9203
1052,9654,8721,0.76407,,9203
1052,9654,8722,-0.9543,,9203
1052,9654,8724,-1.50572,,9203
1052,9654,8725,1.94075,,9203
1052,9654,8726,-1.376,,9203
1095,9636,8605,-270.933,,9001
1095,9636,8606,115.599,,9001
1095,9636,8607,-360.226,,9001
1095,9636,8608,-5.266,,9104
1095,9636,8609,-1.238,,9104
1095,9636,8610,2.381,,9104
1095,9636,8611,-5.109,,9202
1095,9636,8617,2464351.59,,9001
1095,9636,8618,-5783466.61,,9001
1095,9636,8667,974809.81,,9001
1096,9636,8605,-270.933,,9001
1096,9636,8606,115.599,,9001
1096,9636,8607,-360.226,,9001
1096,9636,8608,-5.266,,9104
1096,9636,8609,-1.238,,9104
1096,9636,8610,2.381,,9104
1096,9636,8611,-5.109,,9202
1096,9636,8617,2464351.59,,9001
1096,9636,8618,-5783466.61,,9001
1096,9636,8667,974809.81,,9001
1097,9603,8605,28.0,,9001
1097,9603,8606,-121.0,,9001
1097,9603,8607,-77.0,,9001
1098,9603,8605,0.0,,9001
1098,9603,8606,0.0,,9001
1098,9603,8607,0.0,,9001
1099,9603,8605,0.0,,9001
1099,9603,8606,0.0,,9001
1099,9603,8607,0.0,,9001
1100,9603,8605,-166.0,,9001
1100,9603,8606,-15.0,,9001
1100,9603,8607,204.0,,9001
1101,9603,8605,-118.0,,9001
1101,9603,8606,-14.0,,9001
1101,9603,8607,218.0,,9001
1102,9603,8605,-134.0,,9001
1102,9603,8606,-2.0,,9001
1102,9603,8607,210.0,,9001
1103,9603,8605,-165.0,,9001
1103,9603,8606,-11.0,,9001
1103,9603,8607,206.0,,9001
1104,9603,8605,-123.0,,9001
1104,9603,8606,-20.0,,9001
1104,9603,8607,220.0,,9001
1105,9603,8605,-128.0,,9001
1105,9603,8606,-18.0,,9001
1105,9603,8607,224.0,,9001
1106,9603,8605,-161.0,,9001
1106,9603,8606,-14.0,,9001
1106,9603,8607,205.0,,9001
1107,9603,8605,-43.0,,9001
1107,9603,8606,-163.0,,9001
1107,9603,8607,45.0,,9001
1108,9603,8605,-133.0,,9001
1108,9603,8606,-48.0,,9001
1108,9603,8607,148.0,,9001
1109,9603,8605,-134.0,,9001
1109,9603,8606,-48.0,,9001
1109,9603,8607,149.0,,9001
1110,9603,8605,-150.0,,9001
1110,9603,8606,-250.0,,9001
1110,9603,8607,-1.0,,9001
1111,9603,8605,-143.0,,9001
1111,9603,8606,-236.0,,9001
1111,9603,8607,7.0,,9001
1112,9606,8605,593.16,,9001
1112,9606,8606,26.15,,9001
1112,9606,8607,478.54,,9001
1112,9606,8608,-6.3239,,9109
1112,9606,8609,-0.5008,,9109
1112,9606,8610,-5.5487,,9109
1112,9606,8611,4.0775,,9202
1113,9603,8605,-143.0,,9001
1113,9603,8606,-90.0,,9001
1113,9603,8607,-294.0,,9001
1114,9603,8605,-138.0,,9001
1114,9603,8606,-105.0,,9001
1114,9603,8607,-289.0,,9001
1115,9603,8605,-153.0,,9001
1115,9603,8606,-5.0,,9001
1115,9603,8607,-292.0,,9001
1116,9603,8605,-125.0,,9001
1116,9603,8606,-108.0,,9001
1116,9603,8607,-295.0,,9001
1117,9603,8605,-161.0,,9001
1117,9603,8606,-73.0,,9001
1117,9603,8607,-317.0,,9001
1118,9603,8605,-134.0,,9001
1118,9603,8606,-105.0,,9001
1118,9603,8607,-295.0,,9001
1119,9603,8605,-169.0,,9001
1119,9603,8606,-19.0,,9001
1119,9603,8607,-278.0,,9001
1120,9603,8605,-147.0,,9001
1120,9603,8606,-74.0,,9001
1120,9603,8607,-283.0,,9001
1121,9603,8605,-142.0,,9001
1121,9603,8606,-96.0,,9001
1121,9603,8607,-293.0,,9001
1122,9603,8605,-160.0,,9001
1122,9603,8606,-6.0,,9001
1122,9603,8607,-302.0,,9001
1123,9603,8605,-377.0,,9001
1123,9603,8606,681.0,,9001
1123,9603,8607,-50.0,,9001
1124,9603,8605,-73.0,,9001
1124,9603,8606,213.0,,9001
1124,9603,8607,296.0,,9001
1125,9603,8605,307.0,,9001
1125,9603,8606,304.0,,9001
1125,9603,8607,-318.0,,9001
1126,9603,8605,-384.0,,9001
1126,9603,8606,664.0,,9001
1126,9603,8607,-48.0,,9001
1127,9603,8605,-148.0,,9001
1127,9603,8606,136.0,,9001
1127,9603,8607,90.0,,9001
1128,9603,8605,-136.0,,9001
1128,9603,8606,-108.0,,9001
1128,9603,8607,-292.0,,9001
1129,9603,8605,-134.73,,9001
1129,9603,8606,-110.92,,9001
1129,9603,8607,-292.66,,9001
1130,9603,8605,-263.0,,9001
1130,9603,8606,6.0,,9001
1130,9603,8607,431.0,,9001
1131,9603,8605,-134.0,,9001
1131,9603,8606,229.0,,9001
1131,9603,8607,-29.0,,9001
1132,9603,8605,-206.0,,9001
1132,9603,8606,172.0,,9001
1132,9603,8607,-6.0,,9001
1133,9603,8605,-87.0,,9001
1133,9603,8606,-98.0,,9001
1133,9603,8607,-121.0,,9001
1134,9603,8605,-87.0,,9001
1134,9603,8606,-96.0,,9001
1134,9603,8607,-120.0,,9001
1135,9603,8605,-103.0,,9001
1135,9603,8606,-106.0,,9001
1135,9603,8607,-141.0,,9001
1136,9603,8605,-104.0,,9001
1136,9603,8606,-101.0,,9001
1136,9603,8607,-140.0,,9001
1137,9603,8605,-130.0,,9001
1137,9603,8606,-117.0,,9001
1137,9603,8607,-151.0,,9001
1138,9603,8605,-86.0,,9001
1138,9603,8606,-96.0,,9001
1138,9603,8607,-120.0,,9001
1139,9603,8605,-87.0,,9001
1139,9603,8606,-95.0,,9001
1139,9603,8607,-120.0,,9001
1140,9603,8605,-84.0,,9001
1140,9603,8606,-95.0,,9001
1140,9603,8607,-130.0,,9001
1141,9603,8605,-117.0,,9001
1141,9603,8606,-132.0,,9001
1141,9603,8607,-164.0,,9001
1142,9603,8605,-97.0,,9001
1142,9603,8606,-103.0,,9001
1142,9603,8607,-120.0,,9001
1143,9603,8605,-97.0,,9001
1143,9603,8606,-88.0,,9001
1143,9603,8607,-135.0,,9001
1144,9603,8605,-107.0,,9001
1144,9603,8606,-88.0,,9001
1144,9603,8607,-149.0,,9001
1145,9603,8605,-84.0,,9001
1145,9603,8606,-107.0,,9001
1145,9603,8607,-120.0,,9001
1146,9606,8605,-82.981,,9001
1146,9606,8606,-99.719,,9001
1146,9606,8607,-110.709,,9001
1146,9606,8608,-0.5076,,9109
1146,9606,8609,0.1503,,9109
1146,9606,8610,0.3898,,9109
1146,9606,8611,-0.3143,,9202
1147,9606,8605,-1.51,,9001
1147,9606,8606,-0.84,,9001
1147,9606,8607,-3.5,,9001
1147,9606,8608,-1.893,,9109
1147,9606,8609,-0.687,,9109
1147,9606,8610,-2.764,,9109
1147,9606,8611,0.609,,9202
1148,9603,8605,-130.0,,9001
1148,9603,8606,110.0,,9001
1148,9603,8607,-13.0,,9001
1149,9603,8605,0.0,,9001
1149,9603,8606,0.0,,9001
1149,9603,8607,0.0,,9001
1150,9603,8605,0.0,,9001
1150,9603,8606,0.0,,9001
1150,9603,8607,0.0,,9001
1151,9603,8605,84.0,,9001
1151,9603,8606,-22.0,,9001
1151,9603,8607,209.0,,9001
1152,9603,8605,-637.0,,9001
1152,9603,8606,-549.0,,9001
1152,9603,8607,-203.0,,9001
1153,9603,8605,217.0,,9001
1153,9603,8606,823.0,,9001
1153,9603,8607,299.0,,9001
1154,9603,8605,209.0,,9001
1154,9603,8606,818.0,,9001
1154,9603,8607,290.0,,9001
1155,9603,8605,282.0,,9001
1155,9603,8606,726.0,,9001
1155,9603,8607,254.0,,9001
1156,9603,8605,295.0,,9001
1156,9603,8606,736.0,,9001
1156,9603,8607,257.0,,9001
1157,9603,8605,-97.0,,9001
1157,9603,8606,787.0,,9001
1157,9603,8607,86.0,,9001
1158,9603,8605,-11.0,,9001
1158,9603,8606,851.0,,9001
1158,9603,8607,5.0,,9001
1159,9603,8605,-130.0,,9001
1159,9603,8606,29.0,,9001
1159,9603,8607,364.0,,9001
1160,9603,8605,-90.0,,9001
1160,9603,8606,40.0,,9001
1160,9603,8607,88.0,,9001
1161,9603,8605,-133.0,,9001
1161,9603,8606,-77.0,,9001
1161,9603,8607,-51.0,,9001
1162,9603,8605,-133.0,,9001
1162,9603,8606,-79.0,,9001
1162,9603,8607,-72.0,,9001
1163,9603,8605,-74.0,,9001
1163,9603,8606,-130.0,,9001
1163,9603,8607,42.0,,9001
1164,9603,8605,41.0,,9001
1164,9603,8606,-220.0,,9001
1164,9603,8607,-134.0,,9001
1165,9603,8605,639.0,,9001
1165,9603,8606,405.0,,9001
1165,9603,8607,60.0,,9001
1166,9603,8605,31.0,,9001
1166,9603,8606,146.0,,9001
1166,9603,8607,47.0,,9001
1167,9603,8605,-81.0,,9001
1167,9603,8606,-84.0,,9001
1167,9603,8607,115.0,,9001
1168,9603,8605,-92.0,,9001
1168,9603,8606,-93.0,,9001
1168,9603,8607,122.0,,9001
1169,9603,8605,-225.0,,9001
1169,9603,8606,-65.0,,9001
1169,9603,8607,9.0,,9001
1170,9603,8605,-3.0,,9001
1170,9603,8606,142.0,,9001
1170,9603,8607,183.0,,9001
1171,9603,8605,0.0,,9001
1171,9603,8606,125.0,,9001
1171,9603,8607,194.0,,9001
1172,9603,8605,-10.0,,9001
1172,9603,8606,158.0,,9001
1172,9603,8607,187.0,,9001
1173,9603,8605,-8.0,,9001
1173,9603,8606,160.0,,9001
1173,9603,8607,176.0,,9001
1174,9603,8605,-9.0,,9001
1174,9603,8606,161.0,,9001
1174,9603,8607,179.0,,9001
1175,9603,8605,-8.0,,9001
1175,9603,8606,159.0,,9001
1175,9603,8607,175.0,,9001
1176,9603,8605,-5.0,,9001
1176,9603,8606,135.0,,9001
1176,9603,8607,172.0,,9001
1177,9603,8605,-4.0,,9001
1177,9603,8606,154.0,,9001
1177,9603,8607,178.0,,9001
1178,9603,8605,1.0,,9001
1178,9603,8606,140.0,,9001
1178,9603,8607,165.0,,9001
1179,9603,8605,-7.0,,9001
1179,9603,8606,162.0,,9001
1179,9603,8607,188.0,,9001
1180,9603,8605,-9.0,,9001
1180,9603,8606,157.0,,9001
1180,9603,8607,184.0,,9001
1181,9603,8605,-22.0,,9001
1181,9603,8606,160.0,,9001
1181,9603,8607,190.0,,9001
1182,9603,8605,4.0,,9001
1182,9603,8606,159.0,,9001
1182,9603,8607,188.0,,9001
1183,9603,8605,-7.0,,9001
1183,9603,8606,139.0,,9001
1183,9603,8607,181.0,,9001
1184,9603,8605,0.0,,9001
1184,9603,8606,125.0,,9001
1184,9603,8607,201.0,,9001
1185,9603,8605,-9.0,,9001
1185,9603,8606,152.0,,9001
1185,9603,8607,178.0,,9001
1186,9603,8605,11.0,,9001
1186,9603,8606,114.0,,9001
1186,9603,8607,195.0,,9001
1187,9603,8605,-12.0,,9001
1187,9603,8606,130.0,,9001
1187,9603,8607,190.0,,9001
1188,9603,8605,0.0,,9001
1188,9603,8606,0.0,,9001
1188,9603,8607,0.0,,9001
1189,9603,8605,-247.0,,9001
1189,9603,8606,-148.0,,9001
1189,9603,8607,369.0,,9001
1190,9603,8605,-243.0,,9001
1190,9603,8606,-192.0,,9001
1190,9603,8607,477.0,,9001
1191,9603,8605,-249.0,,9001
1191,9603,8606,-156.0,,9001
1191,9603,8607,381.0,,9001
1192,9603,8605,-10.0,,9001
1192,9603,8606,375.0,,9001
1192,9603,8607,165.0,,9001
1193,9603,8605,-168.0,,9001
1193,9603,8606,-60.0,,9001
1193,9603,8607,320.0,,9001
1195,9603,8605,375.0,,9001
1195,9603,8606,-111.0,,9001
1195,9603,8607,431.0,,9001
1196,9603,8605,371.0,,9001
1196,9603,8606,-112.0,,9001
1196,9603,8607,434.0,,9001
1197,9603,8605,371.0,,9001
1197,9603,8606,-111.0,,9001
1197,9603,8607,434.0,,9001
1198,9603,8605,384.0,,9001
1198,9603,8606,-111.0,,9001
1198,9603,8607,425.0,,9001
1199,9603,8605,370.0,,9001
1199,9603,8606,-108.0,,9001
1199,9603,8607,434.0,,9001
1200,9603,8605,-148.0,,9001
1200,9603,8606,51.0,,9001
1200,9603,8607,-291.0,,9001
